waitlist_snapshot_id,site_id,program,week_start_date,waitlist_total,waitlist_over_target,median_wait_days,p90_wait_days,third_next_available_days,urgent_breach_risk,synthetic_demo
WAIT_SITE_STOLLERY_INSPIRED_respiratory_016,SITE_STOLLERY_INSPIRED,respiratory,2026-04-27,262,188,79,141,59,0.523,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_016,SITE_STOLLERY_INSPIRED,cardiology,2026-04-27,19,4,9,16,7,0.031,True
WAIT_SITE_STOLLERY_INSPIRED_neurology_016,SITE_STOLLERY_INSPIRED,neurology,2026-04-27,74,33,24,43,18,0.257,True
WAIT_SITE_STOLLERY_INSPIRED_surgery_followup_016,SITE_STOLLERY_INSPIRED,surgery_followup,2026-04-27,147,72,45,81,34,0.293,True
WAIT_SITE_STOLLERY_INSPIRED_oncology_survivorship_016,SITE_STOLLERY_INSPIRED,oncology_survivorship,2026-04-27,70,23,22,40,17,0.138,True
WAIT_SITE_STOLLERY_INSPIRED_complex_care_016,SITE_STOLLERY_INSPIRED,complex_care,2026-04-27,118,51,29,52,22,0.233,True
WAIT_SITE_STOLLERY_INSPIRED_mental_health_016,SITE_STOLLERY_INSPIRED,mental_health,2026-04-27,190,87,44,79,33,0.261,True
WAIT_SITE_STOLLERY_INSPIRED_diagnostic_procedures_016,SITE_STOLLERY_INSPIRED,diagnostic_procedures,2026-04-27,58,24,25,45,19,0.221,True
WAIT_SITE_ACH_INSPIRED_respiratory_016,SITE_ACH_INSPIRED,respiratory,2026-04-27,137,63,40,72,30,0.261,True
WAIT_SITE_ACH_INSPIRED_cardiology_016,SITE_ACH_INSPIRED,cardiology,2026-04-27,163,69,43,76,32,0.228,True
WAIT_SITE_ACH_INSPIRED_neurology_016,SITE_ACH_INSPIRED,neurology,2026-04-27,20,4,10,19,8,0.031,True
WAIT_SITE_ACH_INSPIRED_surgery_followup_016,SITE_ACH_INSPIRED,surgery_followup,2026-04-27,136,65,52,93,39,0.279,True
WAIT_SITE_ACH_INSPIRED_oncology_survivorship_016,SITE_ACH_INSPIRED,oncology_survivorship,2026-04-27,89,36,33,60,25,0.207,True
WAIT_SITE_ACH_INSPIRED_complex_care_016,SITE_ACH_INSPIRED,complex_care,2026-04-27,19,4,17,31,13,0.05,True
WAIT_SITE_ACH_INSPIRED_mental_health_016,SITE_ACH_INSPIRED,mental_health,2026-04-27,203,137,74,132,55,0.476,True
WAIT_SITE_ACH_INSPIRED_diagnostic_procedures_016,SITE_ACH_INSPIRED,diagnostic_procedures,2026-04-27,145,70,49,88,37,0.289,True
WAIT_SITE_PROV_NETWORK_respiratory_016,SITE_PROV_NETWORK,respiratory,2026-04-27,184,115,71,127,53,0.428,True
WAIT_SITE_PROV_NETWORK_cardiology_016,SITE_PROV_NETWORK,cardiology,2026-04-27,187,108,72,129,54,0.382,True
WAIT_SITE_PROV_NETWORK_neurology_016,SITE_PROV_NETWORK,neurology,2026-04-27,119,49,41,74,31,0.214,True
WAIT_SITE_PROV_NETWORK_surgery_followup_016,SITE_PROV_NETWORK,surgery_followup,2026-04-27,186,87,48,86,36,0.268,True
WAIT_SITE_PROV_NETWORK_oncology_survivorship_016,SITE_PROV_NETWORK,oncology_survivorship,2026-04-27,31,8,8,14,6,0.077,True
WAIT_SITE_PROV_NETWORK_complex_care_016,SITE_PROV_NETWORK,complex_care,2026-04-27,206,147,85,151,63,0.518,True
WAIT_SITE_PROV_NETWORK_mental_health_016,SITE_PROV_NETWORK,mental_health,2026-04-27,103,37,32,57,24,0.162,True
WAIT_SITE_PROV_NETWORK_diagnostic_procedures_016,SITE_PROV_NETWORK,diagnostic_procedures,2026-04-27,0,0,6,12,5,0.0,True
