week_start,site_id,site_name,program,waitlist_total,waitlist_over_target,median_wait_days,p90_wait_days,third_next_available_days,urgent_breach_risk,demand_capacity_gap
2026-06-15,SITE_STOLLERY_INSPIRED,Stollery-inspired,respiratory,7,1,6,12,5,0.02,7
2026-06-15,SITE_STOLLERY_INSPIRED,Stollery-inspired,cardiology,0,0,4,12,3,0.02,0
2026-06-15,SITE_STOLLERY_INSPIRED,Stollery-inspired,neurology,0,0,4,12,3,0.02,0
2026-06-15,SITE_STOLLERY_INSPIRED,Stollery-inspired,surgery_followup,0,0,4,12,3,0.02,-7
2026-06-15,SITE_STOLLERY_INSPIRED,Stollery-inspired,oncology_survivorship,0,0,6,12,5,0.02,0
2026-06-15,SITE_STOLLERY_INSPIRED,Stollery-inspired,complex_care,14,2,12,25,10,0.032,14
2026-06-15,SITE_STOLLERY_INSPIRED,Stollery-inspired,mental_health,0,0,4,12,3,0.02,-7
2026-06-15,SITE_STOLLERY_INSPIRED,Stollery-inspired,diagnostic_procedures,0,0,8,17,7,0.02,0
2026-06-15,SITE_ACH_INSPIRED,Alberta Children's-inspired,respiratory,0,0,4,12,4,0.02,-4
2026-06-15,SITE_ACH_INSPIRED,Alberta Children's-inspired,cardiology,0,0,4,12,3,0.02,0
2026-06-15,SITE_ACH_INSPIRED,Alberta Children's-inspired,neurology,1,0,4,12,3,0.02,1
2026-06-15,SITE_ACH_INSPIRED,Alberta Children's-inspired,surgery_followup,0,0,4,12,3,0.02,0
2026-06-15,SITE_ACH_INSPIRED,Alberta Children's-inspired,oncology_survivorship,9,1,8,17,7,0.021,9
2026-06-15,SITE_ACH_INSPIRED,Alberta Children's-inspired,complex_care,0,0,6,12,5,0.02,-12
2026-06-15,SITE_ACH_INSPIRED,Alberta Children's-inspired,mental_health,36,7,13,28,11,0.041,-17
2026-06-15,SITE_ACH_INSPIRED,Alberta Children's-inspired,diagnostic_procedures,78,27,27,56,22,0.188,7
2026-06-15,SITE_PROV_NETWORK,Provincial network,respiratory,81,20,17,35,14,0.09,-19
2026-06-15,SITE_PROV_NETWORK,Provincial network,cardiology,1,0,4,12,3,0.02,1
2026-06-15,SITE_PROV_NETWORK,Provincial network,neurology,38,8,8,17,7,0.068,0
2026-06-15,SITE_PROV_NETWORK,Provincial network,surgery_followup,0,0,4,12,3,0.02,0
2026-06-15,SITE_PROV_NETWORK,Provincial network,oncology_survivorship,0,0,6,12,5,0.02,0
2026-06-15,SITE_PROV_NETWORK,Provincial network,complex_care,26,4,6,12,5,0.029,-17
2026-06-15,SITE_PROV_NETWORK,Provincial network,mental_health,33,8,13,28,11,0.083,24
2026-06-15,SITE_PROV_NETWORK,Provincial network,diagnostic_procedures,14,2,16,33,13,0.035,4
