site_id,program,overdue_followup,post_discharge_followup_on_time_pct,surveillance_interval_reliability,missing_prerequisite_count,median_dependency_delay_days,pre_visit_ready_pct,protected_slot_scenario_gain,virtual_suitable_share,regional_or_remote_share,travel_burden_index,weather_sensitivity
SITE_STOLLERY_INSPIRED,respiratory,142.0,0.759,0.823,,,,,,,,
SITE_STOLLERY_INSPIRED,cardiology,109.0,0.76,0.71,,,,,,,,
SITE_STOLLERY_INSPIRED,neurology,59.0,0.751,0.764,,,,,,,,
SITE_STOLLERY_INSPIRED,surgery_followup,61.0,0.652,0.763,,,,,,,,
SITE_STOLLERY_INSPIRED,oncology_survivorship,44.0,0.738,0.873,,,,,,,,
SITE_STOLLERY_INSPIRED,complex_care,82.0,0.807,0.843,,,,,,,,
SITE_STOLLERY_INSPIRED,mental_health,139.0,0.823,0.804,,,,,,,,
SITE_STOLLERY_INSPIRED,diagnostic_procedures,101.0,0.687,0.743,,,,,,,,
SITE_ACH_INSPIRED,respiratory,44.0,0.843,0.811,,,,,,,,
SITE_ACH_INSPIRED,cardiology,42.0,0.803,0.848,,,,,,,,
SITE_ACH_INSPIRED,neurology,65.0,0.836,0.749,,,,,,,,
SITE_ACH_INSPIRED,surgery_followup,121.0,0.77,0.856,,,,,,,,
SITE_ACH_INSPIRED,oncology_survivorship,36.0,0.757,0.814,,,,,,,,
SITE_ACH_INSPIRED,complex_care,99.0,0.767,0.843,,,,,,,,
SITE_ACH_INSPIRED,mental_health,83.0,0.668,0.882,,,,,,,,
SITE_ACH_INSPIRED,diagnostic_procedures,45.0,0.848,0.705,,,,,,,,
SITE_PROV_NETWORK,respiratory,138.0,0.819,0.902,,,,,,,,
SITE_PROV_NETWORK,cardiology,117.0,0.832,0.748,,,,,,,,
SITE_PROV_NETWORK,neurology,113.0,0.72,0.727,,,,,,,,
SITE_PROV_NETWORK,surgery_followup,136.0,0.717,0.744,,,,,,,,
SITE_PROV_NETWORK,oncology_survivorship,143.0,0.749,0.813,,,,,,,,
SITE_PROV_NETWORK,complex_care,107.0,0.74,0.809,,,,,,,,
SITE_PROV_NETWORK,mental_health,135.0,0.653,0.83,,,,,,,,
SITE_PROV_NETWORK,diagnostic_procedures,23.0,0.738,0.791,,,,,,,,
SITE_STOLLERY_INSPIRED,respiratory,,,,25.0,24.0,0.775,71.0,,,,
SITE_STOLLERY_INSPIRED,cardiology,,,,14.0,15.0,0.844,63.0,,,,
SITE_STOLLERY_INSPIRED,neurology,,,,38.0,35.0,0.656,21.0,,,,
SITE_STOLLERY_INSPIRED,surgery_followup,,,,47.0,13.0,0.61,64.0,,,,
SITE_STOLLERY_INSPIRED,oncology_survivorship,,,,9.0,23.0,0.713,70.0,,,,
SITE_STOLLERY_INSPIRED,complex_care,,,,56.0,25.0,0.689,61.0,,,,
SITE_STOLLERY_INSPIRED,mental_health,,,,58.0,28.0,0.781,72.0,,,,
SITE_STOLLERY_INSPIRED,diagnostic_procedures,,,,40.0,11.0,0.657,59.0,,,,
SITE_ACH_INSPIRED,respiratory,,,,11.0,27.0,0.675,68.0,,,,
SITE_ACH_INSPIRED,cardiology,,,,34.0,28.0,0.699,74.0,,,,
SITE_ACH_INSPIRED,neurology,,,,43.0,29.0,0.657,43.0,,,,
SITE_ACH_INSPIRED,surgery_followup,,,,46.0,15.0,0.679,66.0,,,,
SITE_ACH_INSPIRED,oncology_survivorship,,,,29.0,23.0,0.797,34.0,,,,
SITE_ACH_INSPIRED,complex_care,,,,37.0,22.0,0.658,50.0,,,,
SITE_ACH_INSPIRED,mental_health,,,,35.0,11.0,0.778,24.0,,,,
SITE_ACH_INSPIRED,diagnostic_procedures,,,,36.0,29.0,0.925,23.0,,,,
SITE_PROV_NETWORK,respiratory,,,,53.0,13.0,0.578,63.0,,,,
SITE_PROV_NETWORK,cardiology,,,,22.0,14.0,0.771,70.0,,,,
SITE_PROV_NETWORK,neurology,,,,51.0,16.0,0.776,42.0,,,,
SITE_PROV_NETWORK,surgery_followup,,,,58.0,33.0,0.559,65.0,,,,
SITE_PROV_NETWORK,oncology_survivorship,,,,18.0,23.0,0.683,46.0,,,,
SITE_PROV_NETWORK,complex_care,,,,29.0,35.0,0.897,45.0,,,,
SITE_PROV_NETWORK,mental_health,,,,42.0,19.0,0.597,71.0,,,,
SITE_PROV_NETWORK,diagnostic_procedures,,,,51.0,29.0,0.829,31.0,,,,
SITE_STOLLERY_INSPIRED,respiratory,,,,,,,,0.323,0.257,1.87,1.025
SITE_STOLLERY_INSPIRED,cardiology,,,,,,,,0.165,0.296,1.245,1.074
SITE_STOLLERY_INSPIRED,neurology,,,,,,,,0.314,0.203,1.4,1.175
SITE_STOLLERY_INSPIRED,surgery_followup,,,,,,,,0.145,0.183,1.594,1.193
SITE_STOLLERY_INSPIRED,oncology_survivorship,,,,,,,,0.16,0.203,1.705,1.097
SITE_STOLLERY_INSPIRED,complex_care,,,,,,,,0.129,0.297,1.696,1.138
SITE_STOLLERY_INSPIRED,mental_health,,,,,,,,0.314,0.239,1.057,1.005
SITE_STOLLERY_INSPIRED,diagnostic_procedures,,,,,,,,0.404,0.16,1.295,1.096
SITE_ACH_INSPIRED,respiratory,,,,,,,,0.205,0.186,1.268,0.991
SITE_ACH_INSPIRED,cardiology,,,,,,,,0.32,0.256,1.217,1.155
SITE_ACH_INSPIRED,neurology,,,,,,,,0.302,0.245,1.151,1.137
SITE_ACH_INSPIRED,surgery_followup,,,,,,,,0.369,0.183,1.067,1.058
SITE_ACH_INSPIRED,oncology_survivorship,,,,,,,,0.337,0.29,1.411,1.062
SITE_ACH_INSPIRED,complex_care,,,,,,,,0.441,0.22,1.07,1.039
SITE_ACH_INSPIRED,mental_health,,,,,,,,0.227,0.315,1.674,1.047
SITE_ACH_INSPIRED,diagnostic_procedures,,,,,,,,0.311,0.266,1.311,1.061
SITE_PROV_NETWORK,respiratory,,,,,,,,0.477,0.065,1.679,1.127
