site_id,program,missing_prerequisite_count,median_dependency_delay_days,pre_visit_ready_pct,protected_slot_scenario_gain
SITE_STOLLERY_INSPIRED,respiratory,25,24,0.775,71
SITE_STOLLERY_INSPIRED,cardiology,14,15,0.844,63
SITE_STOLLERY_INSPIRED,neurology,38,35,0.656,21
SITE_STOLLERY_INSPIRED,surgery_followup,47,13,0.61,64
SITE_STOLLERY_INSPIRED,oncology_survivorship,9,23,0.713,70
SITE_STOLLERY_INSPIRED,complex_care,56,25,0.689,61
SITE_STOLLERY_INSPIRED,mental_health,58,28,0.781,72
SITE_STOLLERY_INSPIRED,diagnostic_procedures,40,11,0.657,59
SITE_ACH_INSPIRED,respiratory,11,27,0.675,68
SITE_ACH_INSPIRED,cardiology,34,28,0.699,74
SITE_ACH_INSPIRED,neurology,43,29,0.657,43
SITE_ACH_INSPIRED,surgery_followup,46,15,0.679,66
SITE_ACH_INSPIRED,oncology_survivorship,29,23,0.797,34
SITE_ACH_INSPIRED,complex_care,37,22,0.658,50
SITE_ACH_INSPIRED,mental_health,35,11,0.778,24
SITE_ACH_INSPIRED,diagnostic_procedures,36,29,0.925,23
SITE_PROV_NETWORK,respiratory,53,13,0.578,63
SITE_PROV_NETWORK,cardiology,22,14,0.771,70
SITE_PROV_NETWORK,neurology,51,16,0.776,42
SITE_PROV_NETWORK,surgery_followup,58,33,0.559,65
SITE_PROV_NETWORK,oncology_survivorship,18,23,0.683,46
SITE_PROV_NETWORK,complex_care,29,35,0.897,45
SITE_PROV_NETWORK,mental_health,42,19,0.597,71
SITE_PROV_NETWORK,diagnostic_procedures,51,29,0.829,31
