site_id,program,overdue_followup,post_discharge_followup_on_time_pct,surveillance_interval_reliability
SITE_STOLLERY_INSPIRED,respiratory,142,0.759,0.823
SITE_STOLLERY_INSPIRED,cardiology,109,0.76,0.71
SITE_STOLLERY_INSPIRED,neurology,59,0.751,0.764
SITE_STOLLERY_INSPIRED,surgery_followup,61,0.652,0.763
SITE_STOLLERY_INSPIRED,oncology_survivorship,44,0.738,0.873
SITE_STOLLERY_INSPIRED,complex_care,82,0.807,0.843
SITE_STOLLERY_INSPIRED,mental_health,139,0.823,0.804
SITE_STOLLERY_INSPIRED,diagnostic_procedures,101,0.687,0.743
SITE_ACH_INSPIRED,respiratory,44,0.843,0.811
SITE_ACH_INSPIRED,cardiology,42,0.803,0.848
SITE_ACH_INSPIRED,neurology,65,0.836,0.749
SITE_ACH_INSPIRED,surgery_followup,121,0.77,0.856
SITE_ACH_INSPIRED,oncology_survivorship,36,0.757,0.814
SITE_ACH_INSPIRED,complex_care,99,0.767,0.843
SITE_ACH_INSPIRED,mental_health,83,0.668,0.882
SITE_ACH_INSPIRED,diagnostic_procedures,45,0.848,0.705
SITE_PROV_NETWORK,respiratory,138,0.819,0.902
SITE_PROV_NETWORK,cardiology,117,0.832,0.748
SITE_PROV_NETWORK,neurology,113,0.72,0.727
SITE_PROV_NETWORK,surgery_followup,136,0.717,0.744
SITE_PROV_NETWORK,oncology_survivorship,143,0.749,0.813
SITE_PROV_NETWORK,complex_care,107,0.74,0.809
SITE_PROV_NETWORK,mental_health,135,0.653,0.83
SITE_PROV_NETWORK,diagnostic_procedures,23,0.738,0.791
