week_start,site_id,program,new_referrals,urgent_referrals,triage_median_days,referral_completeness_pct,duplicate_or_leakage_synth,slots_available,slots_booked,completed_visits,cancelled,no_show_rate,late_cancel_rate,new_visit_share,room_constraint,provider_constraint,nurse_allied_constraint
2025-12-15,SITE_PROV_NETWORK,mental_health,28.0,7.0,1.7,0.952,3.0,,,,,,,,,,
2025-12-22,SITE_PROV_NETWORK,mental_health,15.0,2.0,2.3,0.954,0.0,,,,,,,,,,
2025-12-29,SITE_PROV_NETWORK,mental_health,28.0,7.0,2.8,0.892,0.0,,,,,,,,,,
2026-01-05,SITE_PROV_NETWORK,mental_health,30.0,6.0,1.1,0.886,2.0,,,,,,,,,,
2026-01-12,SITE_PROV_NETWORK,mental_health,26.0,2.0,1.3,0.902,0.0,,,,,,,,,,
2026-01-19,SITE_PROV_NETWORK,mental_health,22.0,3.0,1.0,0.946,0.0,,,,,,,,,,
2026-01-26,SITE_PROV_NETWORK,mental_health,19.0,3.0,2.3,0.915,0.0,,,,,,,,,,
2026-02-02,SITE_PROV_NETWORK,mental_health,30.0,2.0,0.9,0.904,0.0,,,,,,,,,,
2026-02-09,SITE_PROV_NETWORK,mental_health,36.0,6.0,3.2,0.881,0.0,,,,,,,,,,
2026-02-16,SITE_PROV_NETWORK,mental_health,16.0,2.0,4.4,0.95,1.0,,,,,,,,,,
2026-02-23,SITE_PROV_NETWORK,mental_health,28.0,5.0,8.0,0.861,1.0,,,,,,,,,,
2026-03-02,SITE_PROV_NETWORK,mental_health,24.0,6.0,4.4,0.794,0.0,,,,,,,,,,
2026-03-09,SITE_PROV_NETWORK,mental_health,30.0,5.0,5.7,0.89,0.0,,,,,,,,,,
2026-03-16,SITE_PROV_NETWORK,mental_health,19.0,5.0,1.7,0.929,0.0,,,,,,,,,,
2026-03-23,SITE_PROV_NETWORK,mental_health,23.0,1.0,2.2,0.954,0.0,,,,,,,,,,
2026-03-30,SITE_PROV_NETWORK,mental_health,21.0,3.0,4.1,0.927,0.0,,,,,,,,,,
