week_start,site_id,program,new_referrals,urgent_referrals,triage_median_days,referral_completeness_pct,duplicate_or_leakage_synth
2026-06-15,SITE_PROV_NETWORK,oncology_survivorship,23,2,1.9,0.854,0
2025-06-16,SITE_PROV_NETWORK,complex_care,27,6,2.0,0.922,1
2025-06-23,SITE_PROV_NETWORK,complex_care,27,6,0.9,0.905,0
2025-06-30,SITE_PROV_NETWORK,complex_care,24,6,1.1,0.837,0
2025-07-07,SITE_PROV_NETWORK,complex_care,23,3,1.7,0.834,1
2025-07-14,SITE_PROV_NETWORK,complex_care,22,5,1.1,0.989,0
2025-07-21,SITE_PROV_NETWORK,complex_care,40,8,1.2,0.797,1
2025-07-28,SITE_PROV_NETWORK,complex_care,29,4,3.2,0.981,1
2025-08-04,SITE_PROV_NETWORK,complex_care,19,3,1.4,0.953,0
2025-08-11,SITE_PROV_NETWORK,complex_care,19,2,2.5,0.938,0
2025-08-18,SITE_PROV_NETWORK,complex_care,21,3,5.6,0.905,0
2025-08-25,SITE_PROV_NETWORK,complex_care,21,2,0.2,0.869,0
2025-09-01,SITE_PROV_NETWORK,complex_care,26,5,3.5,0.905,0
2025-09-08,SITE_PROV_NETWORK,complex_care,34,3,2.2,0.92,1
2025-09-15,SITE_PROV_NETWORK,complex_care,22,5,2.6,0.88,0
2025-09-22,SITE_PROV_NETWORK,complex_care,41,5,1.4,0.935,1
2025-09-29,SITE_PROV_NETWORK,complex_care,31,5,1.7,0.956,0
2025-10-06,SITE_PROV_NETWORK,complex_care,29,6,1.9,0.873,1
2025-10-13,SITE_PROV_NETWORK,complex_care,23,4,1.1,0.859,0
2025-10-20,SITE_PROV_NETWORK,complex_care,27,7,3.9,0.857,1
2025-10-27,SITE_PROV_NETWORK,complex_care,27,7,6.5,0.89,0
2025-11-03,SITE_PROV_NETWORK,complex_care,37,8,6.1,0.885,0
2025-11-10,SITE_PROV_NETWORK,complex_care,31,4,1.3,0.908,0
2025-11-17,SITE_PROV_NETWORK,complex_care,18,2,2.2,0.903,0
2025-11-24,SITE_PROV_NETWORK,complex_care,34,6,1.8,0.893,0
2025-12-01,SITE_PROV_NETWORK,complex_care,21,4,3.5,0.931,0
2025-12-08,SITE_PROV_NETWORK,complex_care,29,6,2.1,0.947,0
2025-12-15,SITE_PROV_NETWORK,complex_care,23,6,4.5,0.943,1
2025-12-22,SITE_PROV_NETWORK,complex_care,22,5,1.3,0.99,0
2025-12-29,SITE_PROV_NETWORK,complex_care,21,4,1.0,0.895,0
2026-01-05,SITE_PROV_NETWORK,complex_care,26,4,1.2,0.926,0
2026-01-12,SITE_PROV_NETWORK,complex_care,26,4,1.1,0.974,0
2026-01-19,SITE_PROV_NETWORK,complex_care,25,5,5.4,0.955,0
2026-01-26,SITE_PROV_NETWORK,complex_care,24,4,1.3,0.881,1
2026-02-02,SITE_PROV_NETWORK,complex_care,21,4,1.8,0.888,1
2026-02-09,SITE_PROV_NETWORK,complex_care,35,7,1.7,0.929,0
2026-02-16,SITE_PROV_NETWORK,complex_care,28,6,1.4,0.859,0
2026-02-23,SITE_PROV_NETWORK,complex_care,27,3,0.4,0.968,0
2026-03-02,SITE_PROV_NETWORK,complex_care,25,3,2.6,0.916,0
2026-03-09,SITE_PROV_NETWORK,complex_care,34,6,0.3,0.91,0
2026-03-16,SITE_PROV_NETWORK,complex_care,28,4,1.6,0.949,0
2026-03-23,SITE_PROV_NETWORK,complex_care,31,5,2.5,0.915,0
2026-03-30,SITE_PROV_NETWORK,complex_care,34,7,1.3,0.849,0
2026-04-06,SITE_PROV_NETWORK,complex_care,25,4,2.0,0.895,0
2026-04-13,SITE_PROV_NETWORK,complex_care,41,13,2.1,0.944,1
2026-04-20,SITE_PROV_NETWORK,complex_care,30,4,1.3,0.862,0
2026-04-27,SITE_PROV_NETWORK,complex_care,29,4,1.6,0.9,1
2026-05-04,SITE_PROV_NETWORK,complex_care,29,8,3.0,0.907,1
2026-05-11,SITE_PROV_NETWORK,complex_care,28,6,4.6,0.902,0
2026-05-18,SITE_PROV_NETWORK,complex_care,26,5,3.6,0.849,1
2026-05-25,SITE_PROV_NETWORK,complex_care,23,4,0.3,0.884,1
2026-06-01,SITE_PROV_NETWORK,complex_care,20,2,4.1,0.915,1
