week_start,site_id,program,slots_available,slots_booked,completed_visits,cancelled,no_show_rate,late_cancel_rate,new_visit_share,room_constraint,provider_constraint,nurse_allied_constraint
2026-06-15,SITE_PROV_NETWORK,oncology_survivorship,37,41,23,9,0.129,0.021,0.375,0.197,0.232,0.129
2025-06-16,SITE_PROV_NETWORK,complex_care,42,45,38,0,0.091,0.031,0.462,0.141,0.146,0.183
2025-06-23,SITE_PROV_NETWORK,complex_care,51,54,47,0,0.07,0.026,0.515,0.297,0.245,0.186
2025-06-30,SITE_PROV_NETWORK,complex_care,34,35,32,0,0.058,0.026,0.348,0.149,0.25,0.116
2025-07-07,SITE_PROV_NETWORK,complex_care,45,49,41,0,0.098,0.043,0.461,0.078,0.296,0.153
2025-07-14,SITE_PROV_NETWORK,complex_care,32,34,30,0,0.073,0.028,0.377,0.149,0.207,0.226
2025-07-21,SITE_PROV_NETWORK,complex_care,50,54,46,0,0.088,0.028,0.363,0.226,0.155,0.172
2025-07-28,SITE_PROV_NETWORK,complex_care,30,33,27,0,0.101,0.025,0.512,0.214,0.19,0.188
2025-08-04,SITE_PROV_NETWORK,complex_care,32,35,29,0,0.106,0.041,0.567,0.134,0.235,0.085
2025-08-11,SITE_PROV_NETWORK,complex_care,27,28,26,0,0.044,0.035,0.488,0.276,0.174,0.115
2025-08-18,SITE_PROV_NETWORK,complex_care,41,42,39,0,0.048,0.028,0.414,0.198,0.189,0.129
2025-08-25,SITE_PROV_NETWORK,complex_care,22,24,19,0,0.123,0.054,0.485,0.178,0.185,0.095
2025-09-01,SITE_PROV_NETWORK,complex_care,27,29,24,0,0.097,0.032,0.526,0.105,0.304,0.083
2025-09-08,SITE_PROV_NETWORK,complex_care,25,26,24,0,0.046,0.0,0.514,0.174,0.33,0.187
2025-09-15,SITE_PROV_NETWORK,complex_care,39,41,37,0,0.054,0.045,0.409,0.209,0.161,0.152
2025-09-22,SITE_PROV_NETWORK,complex_care,26,28,24,0,0.096,0.042,0.342,0.104,0.176,0.256
2025-09-29,SITE_PROV_NETWORK,complex_care,40,43,36,0,0.089,0.032,0.512,0.032,0.373,0.1
2025-10-06,SITE_PROV_NETWORK,complex_care,24,26,22,0,0.098,0.047,0.422,0.162,0.362,0.071
2025-10-13,SITE_PROV_NETWORK,complex_care,52,56,48,0,0.079,0.045,0.517,0.247,0.29,0.053
2025-10-20,SITE_PROV_NETWORK,complex_care,52,54,50,0,0.044,0.035,0.392,0.126,0.384,0.069
2025-10-27,SITE_PROV_NETWORK,complex_care,30,31,28,0,0.064,0.004,0.445,0.227,0.344,0.158
2025-11-03,SITE_PROV_NETWORK,complex_care,24,25,23,0,0.058,0.038,0.465,0.214,0.212,0.067
2025-11-10,SITE_PROV_NETWORK,complex_care,31,33,29,0,0.08,0.021,0.47,0.165,0.115,0.141
2025-11-17,SITE_PROV_NETWORK,complex_care,32,35,29,0,0.095,0.0,0.512,0.239,0.339,0.06
2025-11-24,SITE_PROV_NETWORK,complex_care,39,40,37,0,0.046,0.057,0.496,0.071,0.171,0.103
2025-12-01,SITE_PROV_NETWORK,complex_care,36,38,33,0,0.073,0.019,0.596,0.197,0.336,0.148
2025-12-08,SITE_PROV_NETWORK,complex_care,51,55,47,0,0.081,0.011,0.599,0.211,0.209,0.207
2025-12-15,SITE_PROV_NETWORK,complex_care,32,35,28,0,0.124,0.041,0.531,0.02,0.161,0.111
2025-12-22,SITE_PROV_NETWORK,complex_care,34,37,31,0,0.101,0.014,0.606,0.105,0.282,0.112
2025-12-29,SITE_PROV_NETWORK,complex_care,50,52,48,0,0.05,0.048,0.372,0.096,0.296,0.02
2026-01-05,SITE_PROV_NETWORK,complex_care,24,26,22,0,0.099,0.039,0.421,0.158,0.25,0.215
2026-01-12,SITE_PROV_NETWORK,complex_care,53,57,48,0,0.087,0.057,0.371,0.128,0.066,0.161
