site_id,program,virtual_suitable_share,regional_or_remote_share,travel_burden_index,weather_sensitivity
SITE_STOLLERY_INSPIRED,respiratory,0.323,0.257,1.87,1.025
SITE_STOLLERY_INSPIRED,cardiology,0.165,0.296,1.245,1.074
SITE_STOLLERY_INSPIRED,neurology,0.314,0.203,1.4,1.175
SITE_STOLLERY_INSPIRED,surgery_followup,0.145,0.183,1.594,1.193
SITE_STOLLERY_INSPIRED,oncology_survivorship,0.16,0.203,1.705,1.097
SITE_STOLLERY_INSPIRED,complex_care,0.129,0.297,1.696,1.138
SITE_STOLLERY_INSPIRED,mental_health,0.314,0.239,1.057,1.005
SITE_STOLLERY_INSPIRED,diagnostic_procedures,0.404,0.16,1.295,1.096
SITE_ACH_INSPIRED,respiratory,0.205,0.186,1.268,0.991
SITE_ACH_INSPIRED,cardiology,0.32,0.256,1.217,1.155
SITE_ACH_INSPIRED,neurology,0.302,0.245,1.151,1.137
SITE_ACH_INSPIRED,surgery_followup,0.369,0.183,1.067,1.058
SITE_ACH_INSPIRED,oncology_survivorship,0.337,0.29,1.411,1.062
SITE_ACH_INSPIRED,complex_care,0.441,0.22,1.07,1.039
SITE_ACH_INSPIRED,mental_health,0.227,0.315,1.674,1.047
SITE_ACH_INSPIRED,diagnostic_procedures,0.311,0.266,1.311,1.061
SITE_PROV_NETWORK,respiratory,0.477,0.065,1.679,1.127
SITE_PROV_NETWORK,cardiology,0.12,0.204,1.269,0.998
SITE_PROV_NETWORK,neurology,0.289,0.149,0.9,1.008
SITE_PROV_NETWORK,surgery_followup,0.081,0.317,1.385,1.05
SITE_PROV_NETWORK,oncology_survivorship,0.197,0.116,1.273,1.206
SITE_PROV_NETWORK,complex_care,0.293,0.267,1.456,1.195
SITE_PROV_NETWORK,mental_health,0.373,0.361,1.151,1.128
SITE_PROV_NETWORK,diagnostic_procedures,0.249,0.243,1.566,1.095
