site_id,unit_id,barrier,active_count,median_age_hours,p90_age_hours
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,pharmacy,3,9.0,32.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,transport,3,12.2,7.5
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,imaging,4,16.8,8.5
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,consult,3,21.8,50.5
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,family_readiness,7,4.8,20.5
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,home_supports,3,12.5,2.1
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,equipment,9,8.8,86.3
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,pharmacy,2,23.7,31.1
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,transport,5,8.7,12.4
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,imaging,6,15.6,14.5
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,consult,4,6.8,54.8
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,family_readiness,3,17.6,21.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,home_supports,3,16.8,22.1
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,equipment,3,15.3,13.9
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,pharmacy,5,12.6,36.4
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,transport,1,8.8,9.8
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,imaging,2,21.5,15.9
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,consult,5,14.9,23.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,family_readiness,5,27.6,25.1
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,home_supports,2,16.6,12.8
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,equipment,3,2.1,48.4
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,pharmacy,4,0.5,25.7
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,transport,3,33.5,72.0
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,imaging,2,6.9,8.0
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,consult,4,4.0,16.2
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,family_readiness,4,50.2,17.9
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,home_supports,7,11.4,46.3
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,equipment,3,6.4,15.1
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,pharmacy,4,23.9,16.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,transport,10,17.2,55.7
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,imaging,5,22.2,12.3
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,consult,5,3.0,8.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,family_readiness,3,3.1,60.4
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,home_supports,2,10.5,25.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,equipment,3,4.5,39.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,pharmacy,1,7.1,23.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,transport,3,3.1,12.1
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,imaging,7,14.4,19.3
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,consult,3,5.3,20.3
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,family_readiness,1,17.5,62.8
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,home_supports,3,1.3,33.5
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,equipment,5,6.1,16.3
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_ONCOLOGY,pharmacy,2,14.3,7.8
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_ONCOLOGY,transport,7,5.0,60.8
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_ONCOLOGY,imaging,3,30.0,7.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_ONCOLOGY,consult,7,7.1,10.2
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_ONCOLOGY,family_readiness,3,51.1,27.7
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_ONCOLOGY,home_supports,4,22.3,17.7
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_ONCOLOGY,equipment,5,32.8,60.8
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_CARDIOLOGY,pharmacy,3,15.6,22.7
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_CARDIOLOGY,transport,8,32.2,31.4
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_CARDIOLOGY,imaging,4,16.5,40.1
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_CARDIOLOGY,consult,1,15.3,28.8
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_CARDIOLOGY,family_readiness,3,15.0,20.5
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_CARDIOLOGY,home_supports,3,27.1,2.9
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_CARDIOLOGY,equipment,6,1.6,23.2
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_GENERAL_PEDIATRICS,pharmacy,4,22.8,24.9
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_GENERAL_PEDIATRICS,transport,6,20.6,33.6
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_GENERAL_PEDIATRICS,imaging,1,3.9,33.5
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_GENERAL_PEDIATRICS,consult,1,7.6,88.5
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_GENERAL_PEDIATRICS,family_readiness,3,12.4,14.6
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_GENERAL_PEDIATRICS,home_supports,4,9.6,54.4
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_GENERAL_PEDIATRICS,equipment,5,10.3,36.1
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_RESPIRATORY,pharmacy,9,11.7,47.1
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_RESPIRATORY,transport,4,22.0,65.1
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_RESPIRATORY,imaging,5,24.5,15.2
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_RESPIRATORY,consult,2,4.7,26.6
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_RESPIRATORY,family_readiness,4,27.7,11.3
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_RESPIRATORY,home_supports,3,30.8,26.9
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_RESPIRATORY,equipment,6,19.9,32.5
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_SURGERY,pharmacy,4,23.9,84.0
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_SURGERY,transport,5,12.1,28.6
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_SURGERY,imaging,2,17.2,27.4
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_SURGERY,consult,1,11.2,30.3
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_SURGERY,family_readiness,2,5.7,25.8
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_SURGERY,home_supports,7,9.4,29.5
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_SURGERY,equipment,3,11.0,7.9
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_PICU,pharmacy,5,47.1,20.3
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_PICU,transport,4,21.6,74.7
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_PICU,imaging,2,11.0,14.1
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_PICU,consult,7,15.6,31.4
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_PICU,family_readiness,9,30.6,82.4
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_PICU,home_supports,1,34.1,15.0
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_PICU,equipment,5,28.5,21.2
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_NICU,pharmacy,1,14.1,13.0
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_NICU,transport,10,18.3,47.9
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_NICU,imaging,4,17.1,20.2
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_NICU,consult,3,15.1,19.5
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_NICU,family_readiness,4,6.4,23.2
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_NICU,home_supports,5,29.8,30.5
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_NICU,equipment,7,6.9,14.2
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_MENTAL_HEALTH,pharmacy,4,3.3,22.7
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_MENTAL_HEALTH,transport,4,14.1,21.1
