ts,site_id,site_name,zone,unit_id,unit_name,service_line,census,physical_beds,effective_beds,occupancy_pct,staffing_gap_pct,ed_boarders,predicted_discharges,respiratory_multiplier
2026-06-10T06:00:00-06:00,SITE_STOLLERY_INSPIRED,Stollery-inspired,Edmonton zone proxy,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,general_pediatrics,28,42,37,0.7568,0.0957,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_STOLLERY_INSPIRED,Stollery-inspired,Edmonton zone proxy,SITE_STOLLERY_INSPIRED_RESPIRATORY,Respiratory,respiratory,20,28,26,0.7692,0.0366,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_STOLLERY_INSPIRED,Stollery-inspired,Edmonton zone proxy,SITE_STOLLERY_INSPIRED_SURGERY,Surgery,surgery,22,34,32,0.6875,0.034,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_STOLLERY_INSPIRED,Stollery-inspired,Edmonton zone proxy,SITE_STOLLERY_INSPIRED_PICU,PICU,PICU,15,20,18,0.8333,0.064,1,1,0.9
2026-06-10T06:00:00-06:00,SITE_STOLLERY_INSPIRED,Stollery-inspired,Edmonton zone proxy,SITE_STOLLERY_INSPIRED_NICU,NICU,NICU,24,36,31,0.7742,0.1109,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_STOLLERY_INSPIRED,Stollery-inspired,Edmonton zone proxy,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,Mental health,mental_health,13,18,16,0.8125,0.048,0,1,0.9
2026-06-10T06:00:00-06:00,SITE_STOLLERY_INSPIRED,Stollery-inspired,Edmonton zone proxy,SITE_STOLLERY_INSPIRED_ONCOLOGY,Oncology,oncology,8,18,16,0.5,0.059,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_STOLLERY_INSPIRED,Stollery-inspired,Edmonton zone proxy,SITE_STOLLERY_INSPIRED_CARDIOLOGY,Cardiology,cardiology,10,16,15,0.6667,0.0479,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_ACH_INSPIRED,Alberta Children's-inspired,Calgary zone proxy,SITE_ACH_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,general_pediatrics,27,42,39,0.6923,0.0517,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_ACH_INSPIRED,Alberta Children's-inspired,Calgary zone proxy,SITE_ACH_INSPIRED_RESPIRATORY,Respiratory,respiratory,20,28,26,0.7692,0.0595,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_ACH_INSPIRED,Alberta Children's-inspired,Calgary zone proxy,SITE_ACH_INSPIRED_SURGERY,Surgery,surgery,26,34,32,0.8125,0.0398,0,1,0.9
2026-06-10T06:00:00-06:00,SITE_ACH_INSPIRED,Alberta Children's-inspired,Calgary zone proxy,SITE_ACH_INSPIRED_PICU,PICU,PICU,12,20,18,0.6667,0.0735,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_ACH_INSPIRED,Alberta Children's-inspired,Calgary zone proxy,SITE_ACH_INSPIRED_NICU,NICU,NICU,25,36,34,0.7353,0.0218,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_ACH_INSPIRED,Alberta Children's-inspired,Calgary zone proxy,SITE_ACH_INSPIRED_MENTAL_HEALTH,Mental health,mental_health,9,18,15,0.6,0.1093,0,1,0.9
2026-06-10T06:00:00-06:00,SITE_ACH_INSPIRED,Alberta Children's-inspired,Calgary zone proxy,SITE_ACH_INSPIRED_ONCOLOGY,Oncology,oncology,12,18,16,0.75,0.0492,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_ACH_INSPIRED,Alberta Children's-inspired,Calgary zone proxy,SITE_ACH_INSPIRED_CARDIOLOGY,Cardiology,cardiology,10,16,15,0.6667,0.0204,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_PROV_NETWORK,Provincial network,Provincial pediatric network,SITE_PROV_NETWORK_GENERAL_PEDIATRICS,General pediatrics,general_pediatrics,13,23,21,0.619,0.0444,0,1,0.9
2026-06-10T06:00:00-06:00,SITE_PROV_NETWORK,Provincial network,Provincial pediatric network,SITE_PROV_NETWORK_RESPIRATORY,Respiratory,respiratory,10,15,14,0.7143,0.0518,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_PROV_NETWORK,Provincial network,Provincial pediatric network,SITE_PROV_NETWORK_SURGERY,Surgery,surgery,10,19,17,0.5882,0.0801,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_PROV_NETWORK,Provincial network,Provincial pediatric network,SITE_PROV_NETWORK_PICU,PICU,PICU,7,11,10,0.7,0.0594,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_PROV_NETWORK,Provincial network,Provincial pediatric network,SITE_PROV_NETWORK_NICU,NICU,NICU,11,20,19,0.5789,0.037,0,1,0.9
2026-06-10T06:00:00-06:00,SITE_PROV_NETWORK,Provincial network,Provincial pediatric network,SITE_PROV_NETWORK_MENTAL_HEALTH,Mental health,mental_health,4,10,9,0.4444,0.0487,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_PROV_NETWORK,Provincial network,Provincial pediatric network,SITE_PROV_NETWORK_ONCOLOGY,Oncology,oncology,4,10,9,0.4444,0.0856,0,0,0.9
2026-06-10T06:00:00-06:00,SITE_PROV_NETWORK,Provincial network,Provincial pediatric network,SITE_PROV_NETWORK_CARDIOLOGY,Cardiology,cardiology,7,9,8,0.875,0.0857,1,0,0.9
