site_id,horizon_hours,model_name,model_version,prediction,p10,p90,threshold_probability,top_drivers,freshness,validation_status,caveat
SITE_ACH_INSPIRED,6,occupancy_forecast_gradient_boosted_synth,v2.0,0.7348,0.6664,0.8135,0.03,"['respiratory activity', 'staffing gap', 'predicted discharges']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Scenario planning estimate only.
SITE_ACH_INSPIRED,12,occupancy_forecast_gradient_boosted_synth,v2.0,0.7385,0.6668,0.821,0.03,"['respiratory activity', 'staffing gap', 'predicted discharges']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Scenario planning estimate only.
SITE_ACH_INSPIRED,24,occupancy_forecast_gradient_boosted_synth,v2.0,0.7424,0.6641,0.8324,0.03,"['respiratory activity', 'staffing gap', 'predicted discharges']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Scenario planning estimate only.
SITE_ACH_INSPIRED,48,occupancy_forecast_gradient_boosted_synth,v2.0,0.7464,0.6548,0.8514,0.03,"['respiratory activity', 'staffing gap', 'predicted discharges']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Scenario planning estimate only.
SITE_ACH_INSPIRED,72,occupancy_forecast_gradient_boosted_synth,v2.0,0.7488,0.6438,0.8688,0.03,"['respiratory activity', 'staffing gap', 'predicted discharges']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Scenario planning estimate only.
SITE_PROV_NETWORK,6,occupancy_forecast_gradient_boosted_synth,v2.0,0.6285,0.5602,0.7072,0.03,"['respiratory activity', 'staffing gap', 'predicted discharges']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Scenario planning estimate only.
SITE_PROV_NETWORK,12,occupancy_forecast_gradient_boosted_synth,v2.0,0.6322,0.5605,0.7147,0.03,"['respiratory activity', 'staffing gap', 'predicted discharges']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Scenario planning estimate only.
SITE_PROV_NETWORK,24,occupancy_forecast_gradient_boosted_synth,v2.0,0.6361,0.5578,0.7261,0.03,"['respiratory activity', 'staffing gap', 'predicted discharges']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Scenario planning estimate only.
SITE_PROV_NETWORK,48,occupancy_forecast_gradient_boosted_synth,v2.0,0.6402,0.5485,0.7452,0.03,"['respiratory activity', 'staffing gap', 'predicted discharges']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Scenario planning estimate only.
SITE_PROV_NETWORK,72,occupancy_forecast_gradient_boosted_synth,v2.0,0.6426,0.5376,0.7626,0.03,"['respiratory activity', 'staffing gap', 'predicted discharges']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Scenario planning estimate only.
SITE_STOLLERY_INSPIRED,6,occupancy_forecast_gradient_boosted_synth,v2.0,0.7447,0.6763,0.8234,0.03,"['respiratory activity', 'staffing gap', 'predicted discharges']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Scenario planning estimate only.
SITE_STOLLERY_INSPIRED,12,occupancy_forecast_gradient_boosted_synth,v2.0,0.7484,0.6767,0.8309,0.03,"['respiratory activity', 'staffing gap', 'predicted discharges']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Scenario planning estimate only.
SITE_STOLLERY_INSPIRED,24,occupancy_forecast_gradient_boosted_synth,v2.0,0.7523,0.674,0.8423,0.03,"['respiratory activity', 'staffing gap', 'predicted discharges']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Scenario planning estimate only.
SITE_STOLLERY_INSPIRED,48,occupancy_forecast_gradient_boosted_synth,v2.0,0.7563,0.6647,0.8613,0.03,"['respiratory activity', 'staffing gap', 'predicted discharges']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Scenario planning estimate only.
SITE_STOLLERY_INSPIRED,72,occupancy_forecast_gradient_boosted_synth,v2.0,0.7587,0.6537,0.8787,0.03,"['respiratory activity', 'staffing gap', 'predicted discharges']",2026-06-10T12:00:00-06:00,Synthetic v2 demonstration; not clinically validated,Scenario planning estimate only.
