site_id,unit_id,unit_name,ed_admissions_awaiting_bed,decision_to_bed_median_min,bed_to_arrival_median_min,consult_bottleneck_count
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,0,75,32,0
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,Respiratory,0,131,29,1
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,Surgery,0,144,39,2
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,PICU,1,139,61,1
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,NICU,0,123,37,0
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,Mental health,0,92,44,2
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_ONCOLOGY,Oncology,0,133,28,3
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_CARDIOLOGY,Cardiology,0,136,41,1
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,0,87,36,2
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_RESPIRATORY,Respiratory,0,131,40,2
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_SURGERY,Surgery,0,133,34,1
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_PICU,PICU,0,157,43,0
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_NICU,NICU,0,127,37,1
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_MENTAL_HEALTH,Mental health,0,133,27,0
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_ONCOLOGY,Oncology,0,90,13,1
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_CARDIOLOGY,Cardiology,0,121,34,2
SITE_PROV_NETWORK,SITE_PROV_NETWORK_GENERAL_PEDIATRICS,General pediatrics,0,116,40,0
SITE_PROV_NETWORK,SITE_PROV_NETWORK_RESPIRATORY,Respiratory,0,152,47,0
SITE_PROV_NETWORK,SITE_PROV_NETWORK_SURGERY,Surgery,0,107,30,1
SITE_PROV_NETWORK,SITE_PROV_NETWORK_PICU,PICU,0,82,30,1
SITE_PROV_NETWORK,SITE_PROV_NETWORK_NICU,NICU,0,122,48,2
SITE_PROV_NETWORK,SITE_PROV_NETWORK_MENTAL_HEALTH,Mental health,0,84,29,1
SITE_PROV_NETWORK,SITE_PROV_NETWORK_ONCOLOGY,Oncology,0,98,33,1
SITE_PROV_NETWORK,SITE_PROV_NETWORK_CARDIOLOGY,Cardiology,1,152,28,0
