date,site_id,elective_cases,urgent_cases,post_op_bed_demand,pacu_hold_risk,cancellation_risk,service_line,high_resource_beds,occupied,step_down_ready_waiting,transfer_in_requests,ventilator_proxy_demand_synth,respiratory_surge_sensitivity
2026-05-18,SITE_PROV_NETWORK,7.0,1.0,9.0,0.136,0.067,,,,,,,
2026-05-19,SITE_PROV_NETWORK,8.0,2.0,7.0,0.155,0.117,,,,,,,
2026-05-20,SITE_PROV_NETWORK,13.0,8.0,4.0,0.087,0.086,,,,,,,
2026-05-21,SITE_PROV_NETWORK,15.0,5.0,10.0,0.128,0.077,,,,,,,
2026-05-22,SITE_PROV_NETWORK,16.0,2.0,8.0,0.144,0.1,,,,,,,
2026-05-23,SITE_PROV_NETWORK,3.0,6.0,1.0,0.112,0.04,,,,,,,
2026-05-24,SITE_PROV_NETWORK,4.0,3.0,5.0,0.149,0.032,,,,,,,
2026-05-25,SITE_PROV_NETWORK,21.0,3.0,13.0,0.132,0.071,,,,,,,
2026-05-26,SITE_PROV_NETWORK,14.0,3.0,7.0,0.175,0.091,,,,,,,
2026-05-27,SITE_PROV_NETWORK,12.0,6.0,8.0,0.114,0.078,,,,,,,
2026-05-28,SITE_PROV_NETWORK,15.0,2.0,7.0,0.2,0.079,,,,,,,
2026-05-29,SITE_PROV_NETWORK,20.0,7.0,6.0,0.092,0.079,,,,,,,
2026-05-30,SITE_PROV_NETWORK,2.0,4.0,3.0,0.109,0.05,,,,,,,
2026-05-31,SITE_PROV_NETWORK,4.0,5.0,1.0,0.11,0.047,,,,,,,
2026-06-01,SITE_PROV_NETWORK,19.0,3.0,7.0,0.144,0.096,,,,,,,
2026-06-02,SITE_PROV_NETWORK,10.0,3.0,6.0,0.112,0.031,,,,,,,
2026-06-03,SITE_PROV_NETWORK,11.0,5.0,8.0,0.126,0.124,,,,,,,
2026-06-04,SITE_PROV_NETWORK,14.0,4.0,10.0,0.15,0.083,,,,,,,
2026-06-05,SITE_PROV_NETWORK,17.0,2.0,15.0,0.149,0.1,,,,,,,
2026-06-06,SITE_PROV_NETWORK,2.0,4.0,0.0,0.132,0.0,,,,,,,
2026-06-07,SITE_PROV_NETWORK,3.0,7.0,5.0,0.037,0.042,,,,,,,
2026-06-08,SITE_PROV_NETWORK,19.0,4.0,5.0,0.161,0.077,,,,,,,
2026-06-09,SITE_PROV_NETWORK,23.0,7.0,7.0,0.17,0.089,,,,,,,
2026-06-10,SITE_PROV_NETWORK,19.0,4.0,6.0,0.132,0.104,,,,,,,
,SITE_STOLLERY_INSPIRED,,,,,,PICU,20.0,16.0,3.0,3.0,8.0,1.401
,SITE_STOLLERY_INSPIRED,,,,,,NICU,36.0,35.0,1.0,1.0,10.0,1.144
,SITE_ACH_INSPIRED,,,,,,PICU,20.0,16.0,7.0,3.0,11.0,1.164
,SITE_ACH_INSPIRED,,,,,,NICU,36.0,32.0,2.0,2.0,4.0,1.195
,SITE_PROV_NETWORK,,,,,,PICU,20.0,19.0,2.0,5.0,5.0,1.199
,SITE_PROV_NETWORK,,,,,,NICU,36.0,15.0,4.0,2.0,5.0,1.176
