date,site_id,elective_cases,urgent_cases,post_op_bed_demand,pacu_hold_risk,cancellation_risk
2026-04-12,SITE_PROV_NETWORK,6,7,2,0.081,0.06
2026-04-13,SITE_PROV_NETWORK,14,4,5,0.153,0.132
2026-04-14,SITE_PROV_NETWORK,17,4,7,0.081,0.069
2026-04-15,SITE_PROV_NETWORK,19,7,6,0.118,0.089
2026-04-16,SITE_PROV_NETWORK,28,8,7,0.154,0.1
2026-04-17,SITE_PROV_NETWORK,11,2,10,0.119,0.079
2026-04-18,SITE_PROV_NETWORK,2,6,2,0.134,0.075
2026-04-19,SITE_PROV_NETWORK,6,6,6,0.044,0.003
2026-04-20,SITE_PROV_NETWORK,11,5,4,0.128,0.063
2026-04-21,SITE_PROV_NETWORK,16,4,6,0.134,0.088
2026-04-22,SITE_PROV_NETWORK,15,0,6,0.143,0.078
2026-04-23,SITE_PROV_NETWORK,14,5,6,0.156,0.086
2026-04-24,SITE_PROV_NETWORK,19,9,8,0.126,0.08
2026-04-25,SITE_PROV_NETWORK,1,7,5,0.045,0.093
2026-04-26,SITE_PROV_NETWORK,5,3,4,0.1,0.004
2026-04-27,SITE_PROV_NETWORK,18,6,5,0.148,0.087
2026-04-28,SITE_PROV_NETWORK,14,5,3,0.077,0.03
2026-04-29,SITE_PROV_NETWORK,17,0,5,0.099,0.086
2026-04-30,SITE_PROV_NETWORK,20,7,5,0.15,0.084
2026-05-01,SITE_PROV_NETWORK,19,5,5,0.135,0.069
2026-05-02,SITE_PROV_NETWORK,3,4,4,0.116,0.011
2026-05-03,SITE_PROV_NETWORK,1,3,3,0.082,0.019
2026-05-04,SITE_PROV_NETWORK,20,6,6,0.173,0.089
2026-05-05,SITE_PROV_NETWORK,16,4,7,0.187,0.073
2026-05-06,SITE_PROV_NETWORK,26,5,5,0.142,0.094
2026-05-07,SITE_PROV_NETWORK,18,4,12,0.07,0.075
2026-05-08,SITE_PROV_NETWORK,14,2,10,0.148,0.076
2026-05-09,SITE_PROV_NETWORK,3,2,3,0.099,0.033
2026-05-10,SITE_PROV_NETWORK,2,4,5,0.068,0.081
2026-05-11,SITE_PROV_NETWORK,11,1,9,0.046,0.073
2026-05-12,SITE_PROV_NETWORK,17,3,7,0.227,0.078
2026-05-13,SITE_PROV_NETWORK,13,0,5,0.115,0.084
2026-05-14,SITE_PROV_NETWORK,18,5,7,0.158,0.056
2026-05-15,SITE_PROV_NETWORK,24,3,5,0.122,0.084
2026-05-16,SITE_PROV_NETWORK,5,1,3,0.09,0.027
2026-05-17,SITE_PROV_NETWORK,4,7,2,0.1,0.0
2026-05-18,SITE_PROV_NETWORK,7,1,9,0.136,0.067
2026-05-19,SITE_PROV_NETWORK,8,2,7,0.155,0.117
2026-05-20,SITE_PROV_NETWORK,13,8,4,0.087,0.086
2026-05-21,SITE_PROV_NETWORK,15,5,10,0.128,0.077
2026-05-22,SITE_PROV_NETWORK,16,2,8,0.144,0.1
2026-05-23,SITE_PROV_NETWORK,3,6,1,0.112,0.04
2026-05-24,SITE_PROV_NETWORK,4,3,5,0.149,0.032
2026-05-25,SITE_PROV_NETWORK,21,3,13,0.132,0.071
2026-05-26,SITE_PROV_NETWORK,14,3,7,0.175,0.091
2026-05-27,SITE_PROV_NETWORK,12,6,8,0.114,0.078
2026-05-28,SITE_PROV_NETWORK,15,2,7,0.2,0.079
2026-05-29,SITE_PROV_NETWORK,20,7,6,0.092,0.079
2026-05-30,SITE_PROV_NETWORK,2,4,3,0.109,0.05
2026-05-31,SITE_PROV_NETWORK,4,5,1,0.11,0.047
2026-06-01,SITE_PROV_NETWORK,19,3,7,0.144,0.096
2026-06-02,SITE_PROV_NETWORK,10,3,6,0.112,0.031
2026-06-03,SITE_PROV_NETWORK,11,5,8,0.126,0.124
2026-06-04,SITE_PROV_NETWORK,14,4,10,0.15,0.083
2026-06-05,SITE_PROV_NETWORK,17,2,15,0.149,0.1
2026-06-06,SITE_PROV_NETWORK,2,4,0,0.132,0.0
2026-06-07,SITE_PROV_NETWORK,3,7,5,0.037,0.042
2026-06-08,SITE_PROV_NETWORK,19,4,5,0.161,0.077
2026-06-09,SITE_PROV_NETWORK,23,7,7,0.17,0.089
2026-06-10,SITE_PROV_NETWORK,19,4,6,0.132,0.104
