site_id,unit_id,unit_name,deterioration_watch_synth,sepsis_screen_signal_synth,medication_process_signal_synth,readmission_revisit_proxy
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,4,0,1,0.06
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,Respiratory,2,0,0,0.042
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,Surgery,1,0,0,0.061
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,PICU,1,1,0,0.048
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,NICU,0,2,0,0.056
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,Mental health,0,0,0,0.049
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_ONCOLOGY,Oncology,4,0,0,0.078
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_CARDIOLOGY,Cardiology,1,0,1,0.038
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,1,0,1,0.041
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_RESPIRATORY,Respiratory,1,0,1,0.056
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_SURGERY,Surgery,2,0,1,0.041
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_PICU,PICU,0,0,0,0.059
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_NICU,NICU,3,0,0,0.062
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_MENTAL_HEALTH,Mental health,2,0,2,0.048
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_ONCOLOGY,Oncology,2,1,0,0.028
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_CARDIOLOGY,Cardiology,3,0,1,0.052
SITE_PROV_NETWORK,SITE_PROV_NETWORK_GENERAL_PEDIATRICS,General pediatrics,1,0,0,0.056
SITE_PROV_NETWORK,SITE_PROV_NETWORK_RESPIRATORY,Respiratory,1,0,1,0.058
SITE_PROV_NETWORK,SITE_PROV_NETWORK_SURGERY,Surgery,3,0,1,0.038
SITE_PROV_NETWORK,SITE_PROV_NETWORK_PICU,PICU,1,3,1,0.07
SITE_PROV_NETWORK,SITE_PROV_NETWORK_NICU,NICU,0,0,1,0.071
SITE_PROV_NETWORK,SITE_PROV_NETWORK_MENTAL_HEALTH,Mental health,0,1,0,0.041
SITE_PROV_NETWORK,SITE_PROV_NETWORK_ONCOLOGY,Oncology,0,0,0,0.082
SITE_PROV_NETWORK,SITE_PROV_NETWORK_CARDIOLOGY,Cardiology,2,1,2,0.036
