site_id,unit_id,unit_name,scheduled_hours,required_hours,effective_beds_lost,workload_index
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,103.6,82.6,5,0.757
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,Respiratory,72.8,59.0,2,0.769
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,Surgery,89.6,64.9,2,0.688
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,PICU,50.4,51.0,2,0.967
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,NICU,86.8,81.6,5,0.898
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,Mental health,44.8,38.4,2,0.812
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_ONCOLOGY,Oncology,44.8,23.6,2,0.5
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_CARDIOLOGY,Cardiology,42.0,29.5,1,0.667
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,109.2,79.7,3,0.692
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_RESPIRATORY,Respiratory,72.8,59.0,2,0.769
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_SURGERY,Surgery,89.6,76.7,2,0.812
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_PICU,PICU,50.4,40.8,2,0.773
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_NICU,NICU,95.2,85.0,2,0.853
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_MENTAL_HEALTH,Mental health,42.0,26.6,3,0.6
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_ONCOLOGY,Oncology,44.8,35.4,2,0.75
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_CARDIOLOGY,Cardiology,42.0,29.5,1,0.667
SITE_PROV_NETWORK,SITE_PROV_NETWORK_GENERAL_PEDIATRICS,General pediatrics,58.8,38.4,2,0.619
SITE_PROV_NETWORK,SITE_PROV_NETWORK_RESPIRATORY,Respiratory,39.2,29.5,1,0.714
SITE_PROV_NETWORK,SITE_PROV_NETWORK_SURGERY,Surgery,47.6,29.5,2,0.588
SITE_PROV_NETWORK,SITE_PROV_NETWORK_PICU,PICU,28.0,23.8,1,0.812
SITE_PROV_NETWORK,SITE_PROV_NETWORK_NICU,NICU,53.2,37.4,1,0.672
SITE_PROV_NETWORK,SITE_PROV_NETWORK_MENTAL_HEALTH,Mental health,25.2,11.8,1,0.444
SITE_PROV_NETWORK,SITE_PROV_NETWORK_ONCOLOGY,Oncology,25.2,11.8,1,0.444
SITE_PROV_NETWORK,SITE_PROV_NETWORK_CARDIOLOGY,Cardiology,22.4,20.7,1,0.875
