site_id,unit_id,unit_name,scheduled_hours,required_hours,effective_beds_lost,workload_index,barrier,active_count,median_age_hours,p90_age_hours
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,103.6,82.6,5.0,0.757,,,,
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,Respiratory,72.8,59.0,2.0,0.769,,,,
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,Surgery,89.6,64.9,2.0,0.688,,,,
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,PICU,50.4,51.0,2.0,0.967,,,,
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,NICU,86.8,81.6,5.0,0.898,,,,
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,Mental health,44.8,38.4,2.0,0.812,,,,
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_ONCOLOGY,Oncology,44.8,23.6,2.0,0.5,,,,
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_CARDIOLOGY,Cardiology,42.0,29.5,1.0,0.667,,,,
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_GENERAL_PEDIATRICS,General pediatrics,109.2,79.7,3.0,0.692,,,,
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_RESPIRATORY,Respiratory,72.8,59.0,2.0,0.769,,,,
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_SURGERY,Surgery,89.6,76.7,2.0,0.812,,,,
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_PICU,PICU,50.4,40.8,2.0,0.773,,,,
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_NICU,NICU,95.2,85.0,2.0,0.853,,,,
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_MENTAL_HEALTH,Mental health,42.0,26.6,3.0,0.6,,,,
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_ONCOLOGY,Oncology,44.8,35.4,2.0,0.75,,,,
SITE_ACH_INSPIRED,SITE_ACH_INSPIRED_CARDIOLOGY,Cardiology,42.0,29.5,1.0,0.667,,,,
SITE_PROV_NETWORK,SITE_PROV_NETWORK_GENERAL_PEDIATRICS,General pediatrics,58.8,38.4,2.0,0.619,,,,
SITE_PROV_NETWORK,SITE_PROV_NETWORK_RESPIRATORY,Respiratory,39.2,29.5,1.0,0.714,,,,
SITE_PROV_NETWORK,SITE_PROV_NETWORK_SURGERY,Surgery,47.6,29.5,2.0,0.588,,,,
SITE_PROV_NETWORK,SITE_PROV_NETWORK_PICU,PICU,28.0,23.8,1.0,0.812,,,,
SITE_PROV_NETWORK,SITE_PROV_NETWORK_NICU,NICU,53.2,37.4,1.0,0.672,,,,
SITE_PROV_NETWORK,SITE_PROV_NETWORK_MENTAL_HEALTH,Mental health,25.2,11.8,1.0,0.444,,,,
SITE_PROV_NETWORK,SITE_PROV_NETWORK_ONCOLOGY,Oncology,25.2,11.8,1.0,0.444,,,,
SITE_PROV_NETWORK,SITE_PROV_NETWORK_CARDIOLOGY,Cardiology,22.4,20.7,1.0,0.875,,,,
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,,,,,,pharmacy,3.0,9.0,32.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,,,,,,transport,3.0,12.2,7.5
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,,,,,,imaging,4.0,16.8,8.5
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,,,,,,consult,3.0,21.8,50.5
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,,,,,,family_readiness,7.0,4.8,20.5
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,,,,,,home_supports,3.0,12.5,2.1
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,,,,,,equipment,9.0,8.8,86.3
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,,,,,,pharmacy,2.0,23.7,31.1
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,,,,,,transport,5.0,8.7,12.4
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,,,,,,imaging,6.0,15.6,14.5
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,,,,,,consult,4.0,6.8,54.8
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,,,,,,family_readiness,3.0,17.6,21.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,,,,,,home_supports,3.0,16.8,22.1
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_RESPIRATORY,,,,,,equipment,3.0,15.3,13.9
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,,,,,,pharmacy,5.0,12.6,36.4
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,,,,,,transport,1.0,8.8,9.8
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,,,,,,imaging,2.0,21.5,15.9
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,,,,,,consult,5.0,14.9,23.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,,,,,,family_readiness,5.0,27.6,25.1
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,,,,,,home_supports,2.0,16.6,12.8
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_SURGERY,,,,,,equipment,3.0,2.1,48.4
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,,,,,,pharmacy,4.0,0.5,25.7
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,,,,,,transport,3.0,33.5,72.0
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,,,,,,imaging,2.0,6.9,8.0
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,,,,,,consult,4.0,4.0,16.2
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,,,,,,family_readiness,4.0,50.2,17.9
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,,,,,,home_supports,7.0,11.4,46.3
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_PICU,,,,,,equipment,3.0,6.4,15.1
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,,,,,,pharmacy,4.0,23.9,16.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,,,,,,transport,10.0,17.2,55.7
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,,,,,,imaging,5.0,22.2,12.3
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,,,,,,consult,5.0,3.0,8.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,,,,,,family_readiness,3.0,3.1,60.4
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,,,,,,home_supports,2.0,10.5,25.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_NICU,,,,,,equipment,3.0,4.5,39.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,,,,,,pharmacy,1.0,7.1,23.6
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,,,,,,transport,3.0,3.1,12.1
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,,,,,,imaging,7.0,14.4,19.3
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,,,,,,consult,3.0,5.3,20.3
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,,,,,,family_readiness,1.0,17.5,62.8
SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,,,,,,home_supports,3.0,1.3,33.5
