program_id,program,horizon_weeks,waitlist_total,third_next_available_days,urgent_breach_risk,diagnostic_readiness,source_ids
PROGRAM_COMPLEX_CARE,Complex care,0,1480,71,0.317,0.78,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_COMPLEX_CARE,Complex care,1,1498,72,0.329,0.792,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_COMPLEX_CARE,Complex care,2,1516,72,0.341,0.804,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_COMPLEX_CARE,Complex care,4,1534,72,0.353,0.816,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_COMPLEX_CARE,Complex care,8,1588,73,0.365,0.828,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_COMPLEX_CARE,Complex care,13,1661,75,0.377,0.84,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_COMPLEX_CARE,Complex care,18,1733,76,0.389,0.852,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_COMPLEX_CARE,Complex care,26,1860,79,0.401,0.864,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_NEUROLOGY,Neurology,0,1320,86,0.388,0.72,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_NEUROLOGY,Neurology,1,1339,86,0.4,0.732,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_NEUROLOGY,Neurology,2,1359,87,0.412,0.744,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_NEUROLOGY,Neurology,4,1380,87,0.424,0.756,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_NEUROLOGY,Neurology,8,1440,88,0.436,0.768,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_NEUROLOGY,Neurology,13,1519,90,0.448,0.78,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_NEUROLOGY,Neurology,18,1598,91,0.46,0.792,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_NEUROLOGY,Neurology,26,1735,95,0.472,0.804,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_CARDIOLOGY,Cardiology,0,940,49,0.164,0.87,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_CARDIOLOGY,Cardiology,1,955,50,0.176,0.882,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_CARDIOLOGY,Cardiology,2,971,50,0.188,0.894,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_CARDIOLOGY,Cardiology,4,983,50,0.2,0.906,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_CARDIOLOGY,Cardiology,8,1025,51,0.212,0.918,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_CARDIOLOGY,Cardiology,13,1084,53,0.224,0.93,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_CARDIOLOGY,Cardiology,18,1142,54,0.236,0.942,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_CARDIOLOGY,Cardiology,26,1246,57,0.248,0.954,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_RESPIRATORY,Respiratory,0,1185,58,0.255,0.84,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_RESPIRATORY,Respiratory,1,1202,58,0.267,0.852,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_RESPIRATORY,Respiratory,2,1219,59,0.279,0.864,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_RESPIRATORY,Respiratory,4,1234,59,0.291,0.876,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_RESPIRATORY,Respiratory,8,1284,60,0.303,0.888,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_RESPIRATORY,Respiratory,13,1350,62,0.315,0.9,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_RESPIRATORY,Respiratory,18,1417,63,0.327,0.912,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_RESPIRATORY,Respiratory,26,1534,66,0.339,0.924,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_SURGERY_FOLLOW_UP,Surgery follow-up,0,1615,64,0.236,0.81,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_SURGERY_FOLLOW_UP,Surgery follow-up,1,1632,64,0.248,0.822,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_SURGERY_FOLLOW_UP,Surgery follow-up,2,1648,65,0.26,0.834,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_SURGERY_FOLLOW_UP,Surgery follow-up,4,1663,65,0.272,0.846,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_SURGERY_FOLLOW_UP,Surgery follow-up,8,1711,66,0.284,0.858,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_SURGERY_FOLLOW_UP,Surgery follow-up,13,1776,68,0.296,0.87,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
PROGRAM_SURGERY_FOLLOW_UP,Surgery follow-up,18,1841,69,0.308,0.882,"SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_DIAGNOSTIC_READINESS"
