site_id,site_name,catchment,program_id,program,referrals_4w,triage_volume_4w,urgent_referrals_4w,waitlist_total,urgent_waitlist,routine_waitlist,third_next_available_days,template_capacity_4w,template_gap_4w,no_show_rate,diagnostic_readiness,followup_overdue,provider_capacity_sessions_4w,allied_health_capacity_sessions_4w,hr_gap_sessions_4w,resource_ceiling_k,marginal_resource_need_k,finance_pressure_k,respiratory_context_index,aqhi_smoke_index,calendar_open_data_lift,open_data_adjustment,urgent_breach_risk,source_readiness,classification,confidence,tone,lineage_panel_id,source_ids,model_ids,warning_ids,caveat
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,respiratory,Respiratory,92,86,22,732,122,610,71,75,17,0.112,0.714,78,68,29,6.8,10.2,4.5,0,0.474,4.94,0.012,0.128,0.628,ready,derived,medium-high,high,PANEL_AMBULATORY_COMMAND,"SRC_SYNTH_REFERRALS,SRC_SYNTH_REFERRAL_TRIAGE,SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_PROVIDER_AVAILABILITY,SRC_SYNTH_NO_SHOW_LATE_CANCEL,SRC_SYNTH_DIAGNOSTIC_READINESS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","AMBULATORY_ACCESS_FORECAST,URGENT_WAITLIST_BREACH_RISK,NO_SHOW_LATE_CANCEL_RISK",WARN_SITE_STOLLERY_INSPIRED_RESPIRATORY_TNA,Synthetic aggregate access metrics; no patient-level display.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,cardiology,Cardiology,66,62,15,564,89,475,60,54,12,0.106,0.747,55,46,19,6.5,9.2,3.8,0,0.474,4.94,0.012,0.114,0.551,ready,derived,medium-high,watch,PANEL_AMBULATORY_COMMAND,"SRC_SYNTH_REFERRALS,SRC_SYNTH_REFERRAL_TRIAGE,SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_PROVIDER_AVAILABILITY,SRC_SYNTH_NO_SHOW_LATE_CANCEL,SRC_SYNTH_DIAGNOSTIC_READINESS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","AMBULATORY_ACCESS_FORECAST,URGENT_WAITLIST_BREACH_RISK,NO_SHOW_LATE_CANCEL_RISK",,Synthetic aggregate access metrics; no patient-level display.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,neurology,Neurology,103,97,24,856,139,717,66,84,19,0.109,0.729,87,69,31,9.8,10.6,5.0,0,0.474,4.94,0.012,0.12,0.593,ready,derived,medium-high,high,PANEL_AMBULATORY_COMMAND,"SRC_SYNTH_REFERRALS,SRC_SYNTH_REFERRAL_TRIAGE,SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_PROVIDER_AVAILABILITY,SRC_SYNTH_NO_SHOW_LATE_CANCEL,SRC_SYNTH_DIAGNOSTIC_READINESS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","AMBULATORY_ACCESS_FORECAST,URGENT_WAITLIST_BREACH_RISK,NO_SHOW_LATE_CANCEL_RISK",WARN_SITE_STOLLERY_INSPIRED_NEUROLOGY_TNA,Synthetic aggregate access metrics; no patient-level display.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,surgery_follow_up,Surgery follow-up,94,88,21,813,128,685,61,77,17,0.107,0.743,80,60,27,10.3,10.3,4.9,0,0.474,4.94,0.012,0.114,0.558,ready,derived,medium-high,watch,PANEL_AMBULATORY_COMMAND,"SRC_SYNTH_REFERRALS,SRC_SYNTH_REFERRAL_TRIAGE,SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_PROVIDER_AVAILABILITY,SRC_SYNTH_NO_SHOW_LATE_CANCEL,SRC_SYNTH_DIAGNOSTIC_READINESS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","AMBULATORY_ACCESS_FORECAST,URGENT_WAITLIST_BREACH_RISK,NO_SHOW_LATE_CANCEL_RISK",,Synthetic aggregate access metrics; no patient-level display.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,oncology_survivorship,Oncology survivorship,51,48,11,441,67,374,53,42,9,0.102,0.768,40,38,14,4.3,8.7,3.1,0,0.474,4.94,0.012,0.108,0.499,ready,derived,medium-high,watch,PANEL_AMBULATORY_COMMAND,"SRC_SYNTH_REFERRALS,SRC_SYNTH_REFERRAL_TRIAGE,SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_PROVIDER_AVAILABILITY,SRC_SYNTH_NO_SHOW_LATE_CANCEL,SRC_SYNTH_DIAGNOSTIC_READINESS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","AMBULATORY_ACCESS_FORECAST,URGENT_WAITLIST_BREACH_RISK,NO_SHOW_LATE_CANCEL_RISK",,Synthetic aggregate access metrics; no patient-level display.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,complex_care,Complex care,115,108,27,967,159,808,68,94,21,0.111,0.722,101,81,34,9.2,11.0,5.1,0,0.474,4.94,0.012,0.121,0.611,ready,derived,medium-high,high,PANEL_AMBULATORY_COMMAND,"SRC_SYNTH_REFERRALS,SRC_SYNTH_REFERRAL_TRIAGE,SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_PROVIDER_AVAILABILITY,SRC_SYNTH_NO_SHOW_LATE_CANCEL,SRC_SYNTH_DIAGNOSTIC_READINESS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","AMBULATORY_ACCESS_FORECAST,URGENT_WAITLIST_BREACH_RISK,NO_SHOW_LATE_CANCEL_RISK",WARN_SITE_STOLLERY_INSPIRED_COMPLEX_CARE_TNA,Synthetic aggregate access metrics; no patient-level display.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,mental_health,Mental health,159,149,38,1397,235,1162,72,130,29,0.113,0.707,151,107,46,13.7,12.6,6.6,0,0.474,4.94,0.012,0.121,0.645,review,derived,medium,high,PANEL_AMBULATORY_COMMAND,"SRC_SYNTH_REFERRALS,SRC_SYNTH_REFERRAL_TRIAGE,SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_PROVIDER_AVAILABILITY,SRC_SYNTH_NO_SHOW_LATE_CANCEL,SRC_SYNTH_DIAGNOSTIC_READINESS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","AMBULATORY_ACCESS_FORECAST,URGENT_WAITLIST_BREACH_RISK,NO_SHOW_LATE_CANCEL_RISK",WARN_SITE_STOLLERY_INSPIRED_MENTAL_HEALTH_TNA,Synthetic aggregate access metrics; no patient-level display.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,diabetes_endocrinology,Diabetes/endocrinology,103,97,24,902,145,757,64,84,19,0.109,0.732,91,66,29,11.0,10.6,5.2,0,0.474,4.94,0.012,0.115,0.584,ready,derived,medium-high,high,PANEL_AMBULATORY_COMMAND,"SRC_SYNTH_REFERRALS,SRC_SYNTH_REFERRAL_TRIAGE,SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_PROVIDER_AVAILABILITY,SRC_SYNTH_NO_SHOW_LATE_CANCEL,SRC_SYNTH_DIAGNOSTIC_READINESS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","AMBULATORY_ACCESS_FORECAST,URGENT_WAITLIST_BREACH_RISK,NO_SHOW_LATE_CANCEL_RISK",WARN_SITE_STOLLERY_INSPIRED_DIABETES_ENDOCRINOLOGY_TNA,Synthetic aggregate access metrics; no patient-level display.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,gastroenterology,Gastroenterology,88,83,20,756,120,636,62,72,16,0.107,0.74,75,65,25,6.2,10.0,4.1,0,0.474,4.94,0.012,0.114,0.567,ready,derived,medium-high,watch,PANEL_AMBULATORY_COMMAND,"SRC_SYNTH_REFERRALS,SRC_SYNTH_REFERRAL_TRIAGE,SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_PROVIDER_AVAILABILITY,SRC_SYNTH_NO_SHOW_LATE_CANCEL,SRC_SYNTH_DIAGNOSTIC_READINESS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","AMBULATORY_ACCESS_FORECAST,URGENT_WAITLIST_BREACH_RISK,NO_SHOW_LATE_CANCEL_RISK",,Synthetic aggregate access metrics; no patient-level display.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,nephrology,Nephrology,48,45,10,416,62,354,50,39,9,0.101,0.776,37,34,13,4.5,8.6,3.0,0,0.474,4.94,0.012,0.106,0.481,ready,derived,medium-high,watch,PANEL_AMBULATORY_COMMAND,"SRC_SYNTH_REFERRALS,SRC_SYNTH_REFERRAL_TRIAGE,SRC_SYNTH_WAITLIST_SNAPSHOTS,SRC_SYNTH_CLINIC_TEMPLATES,SRC_SYNTH_PROVIDER_AVAILABILITY,SRC_SYNTH_NO_SHOW_LATE_CANCEL,SRC_SYNTH_DIAGNOSTIC_READINESS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_RESOURCE_ENVELOPE,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","AMBULATORY_ACCESS_FORECAST,URGENT_WAITLIST_BREACH_RISK,NO_SHOW_LATE_CANCEL_RISK",,Synthetic aggregate access metrics; no patient-level display.
