site_id,site_name,catchment,service_id,service_line,service_group,unit_id,unit_name,capacity,physical_beds,staffed_beds,effective_beds,effective_beds_lost,census,occupancy_pct,staffing_gap_pct,ed_boarders,ed_admissions_awaiting_bed,consult_bottleneck_count,transfer_in_requests,transfer_out_requests,discharge_barriers,predicted_admissions_24h,predicted_discharges_24h,rn_required,rn_available,staffing_gap_hours,required_hours,available_hours,allied_health_gap_hours,hr_risk_index,variable_staffing_cost_k,resource_ceiling_k,margin_pressure_k,respiratory_context_index,aqhi_smoke_index,school_calendar_pressure,open_data_adjustment,source_readiness,classification,confidence,tone,lineage_panel_id,source_ids,model_ids,warning_ids,caveat
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,general_pediatrics,General pediatrics,acute medicine,SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS,General pediatrics unit,36,36,33,31,2,30,0.968,0.118,6,6,3,1,0,4,7,3,158.4,135.8,22.6,190.2,167.6,3.9,0.456,4.7,13.4,0,0.474,4.94,0,0.043,ready,derived,medium-high,watch,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_ED_VISITS,SRC_SYNTH_TRANSFER_REQUESTS,SRC_SYNTH_DISCHARGE_BARRIERS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_COST_CENTER,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","INPT_OCCUPANCY_FORECAST,PICU_NICU_PRESSURE,DISCHARGE_BARRIER_RISK",WARN_SITE_STOLLERY_INSPIRED_GENERAL_PEDIATRICS_HR,Synthetic aggregate unit posture; not validated for clinical decision-making.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,respiratory,Respiratory,acute medicine,SITE_STOLLERY_INSPIRED_RESPIRATORY,Respiratory unit,32,32,29,27,2,28,1.037,0.214,8,8,4,1,0,5,7,3,139.2,103.2,36.0,167.8,131.8,5.1,0.787,9.0,12.7,1.1,0.474,4.94,0,0.058,review,derived,medium,high,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_ED_VISITS,SRC_SYNTH_TRANSFER_REQUESTS,SRC_SYNTH_DISCHARGE_BARRIERS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_COST_CENTER,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","INPT_OCCUPANCY_FORECAST,PICU_NICU_PRESSURE,DISCHARGE_BARRIER_RISK","WARN_SITE_STOLLERY_INSPIRED_RESPIRATORY_OCCUPANCY,WARN_SITE_STOLLERY_INSPIRED_RESPIRATORY_HR",Synthetic aggregate unit posture; not validated for clinical decision-making.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,surgery,Surgery,surgical,SITE_STOLLERY_INSPIRED_SURGERY,Surgery unit,28,28,25,24,1,21,0.875,0.1,4,4,2,1,0,4,5,2,120.0,105.5,14.5,143.4,128.9,3.6,0.392,3.2,12.0,0,0.474,4.94,0,0.033,ready,derived,medium-high,good,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_ED_VISITS,SRC_SYNTH_TRANSFER_REQUESTS,SRC_SYNTH_DISCHARGE_BARRIERS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_COST_CENTER,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","INPT_OCCUPANCY_FORECAST,PICU_NICU_PRESSURE,DISCHARGE_BARRIER_RISK",WARN_SITE_STOLLERY_INSPIRED_SURGERY_HR,Synthetic aggregate unit posture; not validated for clinical decision-making.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,picu,PICU,critical care,SITE_STOLLERY_INSPIRED_PICU,PICU unit,17,17,16,15,1,16,1.067,0.186,7,7,5,3,0,4,5,2,76.8,57.5,19.3,92.8,73.5,3.7,0.669,6.7,10.4,0.3,0.474,4.94,0,0.038,review,derived,medium,high,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_ED_VISITS,SRC_SYNTH_TRANSFER_REQUESTS,SRC_SYNTH_DISCHARGE_BARRIERS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_COST_CENTER,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","INPT_OCCUPANCY_FORECAST,PICU_NICU_PRESSURE,DISCHARGE_BARRIER_RISK","WARN_SITE_STOLLERY_INSPIRED_PICU_OCCUPANCY,WARN_SITE_STOLLERY_INSPIRED_PICU_HR",Synthetic aggregate unit posture; not validated for clinical decision-making.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,nicu,NICU,critical care,SITE_STOLLERY_INSPIRED_NICU,NICU unit,25,25,22,20,2,19,0.95,0.129,5,5,4,2,0,3,5,2,105.6,87.1,18.5,126.4,107.9,2.7,0.467,4.4,11.5,0,0.474,4.94,0,0.03,ready,derived,medium-high,watch,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_ED_VISITS,SRC_SYNTH_TRANSFER_REQUESTS,SRC_SYNTH_DISCHARGE_BARRIERS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_COST_CENTER,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","INPT_OCCUPANCY_FORECAST,PICU_NICU_PRESSURE,DISCHARGE_BARRIER_RISK",WARN_SITE_STOLLERY_INSPIRED_NICU_HR,Synthetic aggregate unit posture; not validated for clinical decision-making.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,cardiology,Cardiology,medical specialty,SITE_STOLLERY_INSPIRED_CARDIOLOGY,Cardiology unit,19,19,17,16,1,14,0.875,0.081,4,4,3,2,0,3,4,2,81.6,73.6,8.0,97.4,89.4,2.8,0.315,2.4,10.6,0,0.474,4.94,0,0.031,ready,derived,medium-high,good,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_ED_VISITS,SRC_SYNTH_TRANSFER_REQUESTS,SRC_SYNTH_DISCHARGE_BARRIERS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_COST_CENTER,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","INPT_OCCUPANCY_FORECAST,PICU_NICU_PRESSURE,DISCHARGE_BARRIER_RISK",,Synthetic aggregate unit posture; not validated for clinical decision-making.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,oncology,Oncology,medical specialty,SITE_STOLLERY_INSPIRED_ONCOLOGY,Oncology unit,21,21,19,18,1,16,0.889,0.119,4,4,2,1,0,3,4,2,91.2,78.1,13.1,109.0,95.9,2.7,0.435,2.9,10.9,0,0.474,4.94,0,0.028,ready,derived,medium-high,good,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_ED_VISITS,SRC_SYNTH_TRANSFER_REQUESTS,SRC_SYNTH_DISCHARGE_BARRIERS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_COST_CENTER,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","INPT_OCCUPANCY_FORECAST,PICU_NICU_PRESSURE,DISCHARGE_BARRIER_RISK",WARN_SITE_STOLLERY_INSPIRED_ONCOLOGY_HR,Synthetic aggregate unit posture; not validated for clinical decision-making.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,neurology,Neurology,medical specialty,SITE_STOLLERY_INSPIRED_NEUROLOGY,Neurology unit,19,19,17,16,1,14,0.875,0.02,4,4,2,1,0,3,4,2,81.6,79.6,2.0,97.4,95.4,2.8,0.12,0.8,10.6,0,0.474,4.94,0,0.033,ready,derived,medium-high,good,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_ED_VISITS,SRC_SYNTH_TRANSFER_REQUESTS,SRC_SYNTH_DISCHARGE_BARRIERS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_COST_CENTER,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","INPT_OCCUPANCY_FORECAST,PICU_NICU_PRESSURE,DISCHARGE_BARRIER_RISK",,Synthetic aggregate unit posture; not validated for clinical decision-making.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,mental_health,Mental health,mental health,SITE_STOLLERY_INSPIRED_MENTAL_HEALTH,Mental health unit,23,23,20,19,1,18,0.947,0.099,4,4,2,1,0,3,5,2,96.0,84.5,11.5,115.2,103.7,2.6,0.369,2.6,11.1,0,0.474,4.94,0,0.026,ready,derived,medium-high,watch,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_ED_VISITS,SRC_SYNTH_TRANSFER_REQUESTS,SRC_SYNTH_DISCHARGE_BARRIERS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_COST_CENTER,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","INPT_OCCUPANCY_FORECAST,PICU_NICU_PRESSURE,DISCHARGE_BARRIER_RISK",WARN_SITE_STOLLERY_INSPIRED_MENTAL_HEALTH_HR,Synthetic aggregate unit posture; not validated for clinical decision-making.
SITE_STOLLERY_INSPIRED,Stollery-inspired,North provincial catchment,complex_care,Complex care,complex care,SITE_STOLLERY_INSPIRED_COMPLEX_CARE,Complex care unit,21,21,19,18,1,17,0.944,0.124,5,5,3,1,0,3,5,2,91.2,77.5,13.7,109.4,95.7,3.1,0.459,3.1,10.9,0,0.474,4.94,0,0.04,ready,derived,medium-high,watch,PANEL_INPATIENT_COMMAND,"SRC_SYNTH_UNIT_CENSUS_HOURLY,SRC_SYNTH_BED_STATUS,SRC_SYNTH_ED_VISITS,SRC_SYNTH_TRANSFER_REQUESTS,SRC_SYNTH_DISCHARGE_BARRIERS,SRC_SYNTH_HR_SHIFT_ROSTER,SRC_SYNTH_FINANCE_COST_CENTER,SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION","INPT_OCCUPANCY_FORECAST,PICU_NICU_PRESSURE,DISCHARGE_BARRIER_RISK",WARN_SITE_STOLLERY_INSPIRED_COMPLEX_CARE_HR,Synthetic aggregate unit posture; not validated for clinical decision-making.
