week_index,week_start,respiratory_activity_index,rsv_index,influenza_index,covid_index,aqhi_max_proxy,smoke_pm25_proxy,mean_temperature_c_proxy,school_break_flag,holiday_flag,pediatric_population_index,ed_wait_pressure_proxy,source_ids,classification,source_readiness
1,2025-06-16,0.42,0.2,0.16,0.24,3.1,10.6,-4.8,False,False,1.0,0.562,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
2,2025-06-23,0.439,0.2,0.16,0.268,3.8,13.3,-2.8,False,False,1.0,0.573,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
3,2025-06-30,0.455,0.2,0.16,0.294,4.55,16.8,-0.7,False,False,1.001,0.587,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
4,2025-07-07,0.466,0.2,0.16,0.317,5.3,20.9,1.5,True,False,1.001,0.672,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
5,2025-07-14,0.471,0.2,0.16,0.336,5.96,25.1,3.7,True,False,1.001,0.689,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
6,2025-07-21,0.469,0.201,0.16,0.35,6.5,29.3,6.0,True,False,1.002,0.705,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,review
7,2025-07-28,0.46,0.202,0.16,0.358,6.88,32.7,8.3,True,False,1.002,0.719,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,review
8,2025-08-04,0.446,0.203,0.161,0.36,7.09,35.0,10.5,True,False,1.002,0.729,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,review
9,2025-08-11,0.429,0.205,0.161,0.355,7.11,35.8,12.7,True,False,1.003,0.733,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,review
10,2025-08-18,0.413,0.208,0.162,0.344,6.98,35.0,14.8,True,False,1.003,0.731,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,review
11,2025-08-25,0.401,0.212,0.163,0.327,6.69,32.7,16.8,True,False,1.003,0.724,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,review
12,2025-09-01,0.395,0.219,0.164,0.306,6.29,29.3,18.6,False,False,1.004,0.643,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,review
13,2025-09-08,0.397,0.229,0.167,0.281,5.79,25.1,20.2,False,False,1.004,0.631,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
14,2025-09-15,0.409,0.244,0.17,0.254,5.22,20.9,21.6,False,False,1.004,0.619,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
15,2025-09-22,0.431,0.263,0.175,0.226,4.59,16.8,22.8,False,False,1.005,0.609,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
16,2025-09-29,0.462,0.289,0.182,0.199,3.94,13.3,23.8,False,False,1.005,0.603,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
17,2025-10-06,0.501,0.323,0.192,0.174,3.31,10.6,24.4,False,False,1.006,0.602,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
18,2025-10-13,0.545,0.365,0.206,0.153,2.73,8.5,24.9,False,False,1.006,0.605,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
19,2025-10-20,0.592,0.416,0.224,0.136,2.27,7.0,25.0,False,False,1.006,0.613,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
20,2025-10-27,0.64,0.476,0.246,0.125,1.96,6.1,24.9,False,False,1.007,0.625,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
21,2025-11-03,0.686,0.543,0.275,0.12,1.82,5.5,24.4,False,False,1.007,0.64,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
22,2025-11-10,0.729,0.616,0.309,0.122,1.85,5.2,23.8,False,False,1.007,0.659,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
23,2025-11-17,0.768,0.692,0.35,0.13,2.0,5.0,22.8,False,False,1.008,0.679,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
24,2025-11-24,0.803,0.766,0.397,0.143,2.2,4.9,21.6,False,False,1.008,0.701,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
25,2025-12-01,0.835,0.835,0.45,0.163,2.38,4.8,20.2,False,False,1.008,0.723,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
26,2025-12-08,0.864,0.895,0.507,0.186,2.49,4.8,18.6,False,False,1.009,0.745,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
27,2025-12-15,0.892,0.941,0.566,0.212,2.48,4.8,16.8,False,False,1.009,0.765,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
28,2025-12-22,0.919,0.97,0.626,0.24,2.36,4.8,14.8,True,False,1.009,0.854,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
29,2025-12-29,0.945,0.98,0.683,0.267,2.16,4.8,12.7,True,True,1.01,0.869,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
30,2026-01-05,0.969,0.97,0.735,0.293,1.94,4.8,10.5,True,False,1.01,0.88,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
31,2026-01-12,0.992,0.941,0.779,0.317,1.77,4.8,8.3,False,False,1.01,0.818,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
32,2026-01-19,1.01,0.895,0.812,0.336,1.7,4.8,6.0,False,False,1.011,0.82,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
33,2026-01-26,1.022,0.835,0.833,0.35,1.75,4.8,3.7,False,False,1.011,0.818,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
34,2026-02-02,1.025,0.766,0.84,0.358,1.9,4.8,1.5,False,False,1.011,0.81,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
35,2026-02-09,1.018,0.692,0.833,0.36,2.12,4.8,-0.7,False,False,1.012,0.799,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
36,2026-02-16,0.998,0.616,0.812,0.355,2.33,4.8,-2.8,False,False,1.012,0.784,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
37,2026-02-23,0.967,0.543,0.779,0.344,2.48,4.9,-4.8,False,False,1.012,0.766,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
38,2026-03-02,0.923,0.476,0.735,0.328,2.53,5.0,-6.6,False,False,1.013,0.746,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
39,2026-03-09,0.869,0.416,0.683,0.307,2.48,5.2,-8.2,False,False,1.013,0.724,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
40,2026-03-16,0.808,0.365,0.626,0.282,2.37,5.6,-9.6,False,False,1.014,0.704,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
41,2026-03-23,0.742,0.323,0.566,0.255,2.27,6.3,-10.8,True,False,1.014,0.754,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
42,2026-03-30,0.677,0.289,0.507,0.227,2.26,7.3,-11.8,True,False,1.014,0.737,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
43,2026-04-06,0.615,0.263,0.45,0.2,2.41,8.8,-12.4,False,False,1.015,0.653,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
44,2026-04-13,0.56,0.244,0.397,0.175,2.77,10.8,-12.9,False,False,1.015,0.643,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
45,2026-04-20,0.516,0.229,0.35,0.153,3.33,13.3,-13.0,False,False,1.015,0.637,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
46,2026-04-27,0.483,0.219,0.309,0.136,4.01,16.1,-12.9,False,False,1.016,0.635,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
47,2026-05-04,0.462,0.212,0.275,0.125,4.71,18.8,-12.4,False,False,1.016,0.634,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
48,2026-05-11,0.452,0.208,0.246,0.12,5.29,21.2,-11.8,False,False,1.016,0.634,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
49,2026-05-18,0.451,0.205,0.224,0.122,5.64,22.8,-10.8,False,False,1.017,0.632,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
50,2026-05-25,0.457,0.203,0.206,0.129,5.69,23.4,-9.6,False,False,1.017,0.629,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
51,2026-06-01,0.465,0.202,0.192,0.143,5.43,22.8,-8.2,False,False,1.017,0.622,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
52,2026-06-08,0.474,0.201,0.182,0.162,4.94,21.2,-6.6,False,False,1.018,0.612,"SRC_OPEN_RESPIRATORY_VIRUS_DASHBOARD,SRC_OPEN_AQHI_SMOKE_CONTEXT,SRC_OPEN_SCHOOL_HOLIDAY_CALENDAR,SRC_OPEN_STATCAN_PED_POPULATION,SRC_OPEN_ED_WAIT_TIME_LOGIC",open data,ready
