clinic_id,site_id,program,clinic_name
SITE_STOLLERY_INSPIRED_CLINIC_RESP,SITE_STOLLERY_INSPIRED,respiratory,Respiratory clinic synthetic
SITE_STOLLERY_INSPIRED_CLINIC_CARD,SITE_STOLLERY_INSPIRED,cardiology,Cardiology clinic synthetic
SITE_STOLLERY_INSPIRED_CLINIC_NEUR,SITE_STOLLERY_INSPIRED,neurology,Neurology clinic synthetic
SITE_STOLLERY_INSPIRED_CLINIC_SURG,SITE_STOLLERY_INSPIRED,surgery_followup,Surgery Followup clinic synthetic
SITE_STOLLERY_INSPIRED_CLINIC_ONCO,SITE_STOLLERY_INSPIRED,oncology_survivorship,Oncology Survivorship clinic synthetic
SITE_STOLLERY_INSPIRED_CLINIC_COMP,SITE_STOLLERY_INSPIRED,complex_care,Complex Care clinic synthetic
SITE_STOLLERY_INSPIRED_CLINIC_MENT,SITE_STOLLERY_INSPIRED,mental_health,Mental Health clinic synthetic
SITE_STOLLERY_INSPIRED_CLINIC_DIAG,SITE_STOLLERY_INSPIRED,diagnostic_procedures,Diagnostic Procedures clinic synthetic
SITE_ACH_INSPIRED_CLINIC_RESP,SITE_ACH_INSPIRED,respiratory,Respiratory clinic synthetic
SITE_ACH_INSPIRED_CLINIC_CARD,SITE_ACH_INSPIRED,cardiology,Cardiology clinic synthetic
SITE_ACH_INSPIRED_CLINIC_NEUR,SITE_ACH_INSPIRED,neurology,Neurology clinic synthetic
SITE_ACH_INSPIRED_CLINIC_SURG,SITE_ACH_INSPIRED,surgery_followup,Surgery Followup clinic synthetic
SITE_ACH_INSPIRED_CLINIC_ONCO,SITE_ACH_INSPIRED,oncology_survivorship,Oncology Survivorship clinic synthetic
SITE_ACH_INSPIRED_CLINIC_COMP,SITE_ACH_INSPIRED,complex_care,Complex Care clinic synthetic
SITE_ACH_INSPIRED_CLINIC_MENT,SITE_ACH_INSPIRED,mental_health,Mental Health clinic synthetic
SITE_ACH_INSPIRED_CLINIC_DIAG,SITE_ACH_INSPIRED,diagnostic_procedures,Diagnostic Procedures clinic synthetic
SITE_PROV_NETWORK_CLINIC_RESP,SITE_PROV_NETWORK,respiratory,Respiratory clinic synthetic
SITE_PROV_NETWORK_CLINIC_CARD,SITE_PROV_NETWORK,cardiology,Cardiology clinic synthetic
SITE_PROV_NETWORK_CLINIC_NEUR,SITE_PROV_NETWORK,neurology,Neurology clinic synthetic
SITE_PROV_NETWORK_CLINIC_SURG,SITE_PROV_NETWORK,surgery_followup,Surgery Followup clinic synthetic
SITE_PROV_NETWORK_CLINIC_ONCO,SITE_PROV_NETWORK,oncology_survivorship,Oncology Survivorship clinic synthetic
SITE_PROV_NETWORK_CLINIC_COMP,SITE_PROV_NETWORK,complex_care,Complex Care clinic synthetic
SITE_PROV_NETWORK_CLINIC_MENT,SITE_PROV_NETWORK,mental_health,Mental Health clinic synthetic
SITE_PROV_NETWORK_CLINIC_DIAG,SITE_PROV_NETWORK,diagnostic_procedures,Diagnostic Procedures clinic synthetic
