date_id,date,week_start_date,month,day_of_week,is_weekend,synthetic_school_day
20260101,2026-01-01,2025-12-29,1,Thursday,False,True
20260102,2026-01-02,2025-12-29,1,Friday,False,True
20260103,2026-01-03,2025-12-29,1,Saturday,True,False
20260104,2026-01-04,2025-12-29,1,Sunday,True,False
20260105,2026-01-05,2026-01-05,1,Monday,False,True
20260106,2026-01-06,2026-01-05,1,Tuesday,False,True
20260107,2026-01-07,2026-01-05,1,Wednesday,False,True
20260108,2026-01-08,2026-01-05,1,Thursday,False,True
20260109,2026-01-09,2026-01-05,1,Friday,False,True
20260110,2026-01-10,2026-01-05,1,Saturday,True,False
20260111,2026-01-11,2026-01-05,1,Sunday,True,False
20260112,2026-01-12,2026-01-12,1,Monday,False,True
20260113,2026-01-13,2026-01-12,1,Tuesday,False,True
20260114,2026-01-14,2026-01-12,1,Wednesday,False,True
20260115,2026-01-15,2026-01-12,1,Thursday,False,True
20260116,2026-01-16,2026-01-12,1,Friday,False,True
20260117,2026-01-17,2026-01-12,1,Saturday,True,False
20260118,2026-01-18,2026-01-12,1,Sunday,True,False
20260119,2026-01-19,2026-01-19,1,Monday,False,True
20260120,2026-01-20,2026-01-19,1,Tuesday,False,True
20260121,2026-01-21,2026-01-19,1,Wednesday,False,True
20260122,2026-01-22,2026-01-19,1,Thursday,False,True
20260123,2026-01-23,2026-01-19,1,Friday,False,True
20260124,2026-01-24,2026-01-19,1,Saturday,True,False
20260125,2026-01-25,2026-01-19,1,Sunday,True,False
20260126,2026-01-26,2026-01-26,1,Monday,False,True
20260127,2026-01-27,2026-01-26,1,Tuesday,False,True
20260128,2026-01-28,2026-01-26,1,Wednesday,False,True
20260129,2026-01-29,2026-01-26,1,Thursday,False,True
20260130,2026-01-30,2026-01-26,1,Friday,False,True
20260131,2026-01-31,2026-01-26,1,Saturday,True,False
20260201,2026-02-01,2026-01-26,2,Sunday,True,False
20260202,2026-02-02,2026-02-02,2,Monday,False,True
20260203,2026-02-03,2026-02-02,2,Tuesday,False,True
20260204,2026-02-04,2026-02-02,2,Wednesday,False,True
20260205,2026-02-05,2026-02-02,2,Thursday,False,True
20260206,2026-02-06,2026-02-02,2,Friday,False,True
20260207,2026-02-07,2026-02-02,2,Saturday,True,False
20260208,2026-02-08,2026-02-02,2,Sunday,True,False
20260209,2026-02-09,2026-02-09,2,Monday,False,True
20260210,2026-02-10,2026-02-09,2,Tuesday,False,True
20260211,2026-02-11,2026-02-09,2,Wednesday,False,True
20260212,2026-02-12,2026-02-09,2,Thursday,False,True
20260213,2026-02-13,2026-02-09,2,Friday,False,True
20260214,2026-02-14,2026-02-09,2,Saturday,True,False
20260215,2026-02-15,2026-02-09,2,Sunday,True,False
20260216,2026-02-16,2026-02-16,2,Monday,False,True
