time_block_id,hour,time_block_label,shift
TB_00,0,00:00-00:59,night
TB_01,1,01:00-01:59,night
TB_02,2,02:00-02:59,night
TB_03,3,03:00-03:59,night
TB_04,4,04:00-04:59,night
TB_05,5,05:00-05:59,night
TB_06,6,06:00-06:59,night
TB_07,7,07:00-07:59,day
TB_08,8,08:00-08:59,day
TB_09,9,09:00-09:59,day
TB_10,10,10:00-10:59,day
TB_11,11,11:00-11:59,day
TB_12,12,12:00-12:59,day
TB_13,13,13:00-13:59,day
TB_14,14,14:00-14:59,day
TB_15,15,15:00-15:59,day
TB_16,16,16:00-16:59,day
TB_17,17,17:00-17:59,day
TB_18,18,18:00-18:59,day
TB_19,19,19:00-19:59,evening
TB_20,20,20:00-20:59,evening
TB_21,21,21:00-21:59,evening
TB_22,22,22:00-22:59,evening
TB_23,23,23:00-23:59,evening
