unit_id,site_id,unit_name,service_line,physical_beds,baseline_occupancy,is_high_resource
SITE_STOLLERY_INSPIRED_GEN,SITE_STOLLERY_INSPIRED,General pediatrics,general_pediatrics,42,0.84,False
SITE_STOLLERY_INSPIRED_RESP,SITE_STOLLERY_INSPIRED,Respiratory cohort,respiratory,28,0.88,False
SITE_STOLLERY_INSPIRED_SURG,SITE_STOLLERY_INSPIRED,Surgery,surgery,34,0.82,False
SITE_STOLLERY_INSPIRED_PICU,SITE_STOLLERY_INSPIRED,PICU,PICU,20,0.78,True
SITE_STOLLERY_INSPIRED_NICU,SITE_STOLLERY_INSPIRED,NICU,NICU,36,0.8,True
SITE_STOLLERY_INSPIRED_MH,SITE_STOLLERY_INSPIRED,Mental health,mental_health,18,0.86,False
SITE_ACH_INSPIRED_GEN,SITE_ACH_INSPIRED,General pediatrics,general_pediatrics,42,0.84,False
SITE_ACH_INSPIRED_RESP,SITE_ACH_INSPIRED,Respiratory cohort,respiratory,28,0.88,False
SITE_ACH_INSPIRED_SURG,SITE_ACH_INSPIRED,Surgery,surgery,34,0.82,False
SITE_ACH_INSPIRED_PICU,SITE_ACH_INSPIRED,PICU,PICU,20,0.78,True
SITE_ACH_INSPIRED_NICU,SITE_ACH_INSPIRED,NICU,NICU,36,0.8,True
SITE_ACH_INSPIRED_MH,SITE_ACH_INSPIRED,Mental health,mental_health,18,0.86,False
SITE_PROV_NETWORK_GEN,SITE_PROV_NETWORK,General pediatrics,general_pediatrics,19,0.84,False
SITE_PROV_NETWORK_RESP,SITE_PROV_NETWORK,Respiratory cohort,respiratory,13,0.88,False
SITE_PROV_NETWORK_SURG,SITE_PROV_NETWORK,Surgery,surgery,15,0.82,False
SITE_PROV_NETWORK_PICU,SITE_PROV_NETWORK,PICU,PICU,9,0.78,True
SITE_PROV_NETWORK_NICU,SITE_PROV_NETWORK,NICU,NICU,16,0.8,True
SITE_PROV_NETWORK_MH,SITE_PROV_NETWORK,Mental health,mental_health,8,0.86,False
