fct_adt_event_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_ADT_EVENT_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,19,0.698,ok,True
FCT_ADT_EVENT_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,6,0.687,ok,True
FCT_ADT_EVENT_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,9,0.413,ok,True
FCT_ADT_EVENT_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,10,0.734,ok,True
FCT_ADT_EVENT_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,10,0.761,ok,True
FCT_ADT_EVENT_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,8,0.565,ok,True
FCT_ADT_EVENT_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,16,0.856,ok,True
FCT_ADT_EVENT_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,2,0.916,ok,True
FCT_ADT_EVENT_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,16,0.288,ok,True
FCT_ADT_EVENT_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,11,0.963,ok,True
FCT_ADT_EVENT_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,15,0.973,ok,True
FCT_ADT_EVENT_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,9,0.264,ok,True
FCT_ADT_EVENT_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,9,0.681,ok,True
FCT_ADT_EVENT_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,2,0.683,ok,True
FCT_ADT_EVENT_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,1,0.685,ok,True
FCT_ADT_EVENT_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,2,0.769,ok,True
FCT_ADT_EVENT_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,7,0.429,ok,True
FCT_ADT_EVENT_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,9,0.87,ok,True
FCT_ADT_EVENT_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,8,0.449,ok,True
FCT_ADT_EVENT_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,18,0.431,ok,True
FCT_ADT_EVENT_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,6,0.45,ok,True
FCT_ADT_EVENT_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,11,0.309,ok,True
FCT_ADT_EVENT_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,5,0.938,ok,True
FCT_ADT_EVENT_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,15,0.355,ok,True
FCT_ADT_EVENT_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,8,0.008,ok,True
FCT_ADT_EVENT_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,18,0.227,ok,True
FCT_ADT_EVENT_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,17,0.354,ok,True
FCT_ADT_EVENT_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,10,0.511,ok,True
FCT_ADT_EVENT_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,4,0.669,ok,True
FCT_ADT_EVENT_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,19,0.443,ok,True
FCT_ADT_EVENT_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,9,0.089,ok,True
FCT_ADT_EVENT_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,16,0.769,ok,True
FCT_ADT_EVENT_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,2,0.68,ok,True
FCT_ADT_EVENT_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,15,0.608,ok,True
FCT_ADT_EVENT_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,12,0.145,ok,True
FCT_ADT_EVENT_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,13,0.241,ok,True
