appointment_id,site_id,program,appointment_week,appointments_scheduled,appointments_completed,appointments_no_show_or_late_cancel,synthetic_demo
APPT_SITE_STOLLERY_INSPIRED_respiratory_000,SITE_STOLLERY_INSPIRED,respiratory,2026-01-05,24,22,2,True
APPT_SITE_STOLLERY_INSPIRED_respiratory_001,SITE_STOLLERY_INSPIRED,respiratory,2026-01-12,27,25,2,True
APPT_SITE_STOLLERY_INSPIRED_respiratory_002,SITE_STOLLERY_INSPIRED,respiratory,2026-01-19,26,23,3,True
APPT_SITE_STOLLERY_INSPIRED_respiratory_003,SITE_STOLLERY_INSPIRED,respiratory,2026-01-26,33,29,4,True
APPT_SITE_STOLLERY_INSPIRED_respiratory_004,SITE_STOLLERY_INSPIRED,respiratory,2026-02-02,34,31,3,True
APPT_SITE_STOLLERY_INSPIRED_respiratory_005,SITE_STOLLERY_INSPIRED,respiratory,2026-02-09,21,20,1,True
APPT_SITE_STOLLERY_INSPIRED_respiratory_006,SITE_STOLLERY_INSPIRED,respiratory,2026-02-16,24,21,3,True
APPT_SITE_STOLLERY_INSPIRED_respiratory_007,SITE_STOLLERY_INSPIRED,respiratory,2026-02-23,23,22,1,True
APPT_SITE_STOLLERY_INSPIRED_respiratory_008,SITE_STOLLERY_INSPIRED,respiratory,2026-03-02,33,29,4,True
APPT_SITE_STOLLERY_INSPIRED_respiratory_009,SITE_STOLLERY_INSPIRED,respiratory,2026-03-09,29,28,1,True
APPT_SITE_STOLLERY_INSPIRED_respiratory_010,SITE_STOLLERY_INSPIRED,respiratory,2026-03-16,36,33,3,True
APPT_SITE_STOLLERY_INSPIRED_respiratory_011,SITE_STOLLERY_INSPIRED,respiratory,2026-03-23,33,31,2,True
APPT_SITE_STOLLERY_INSPIRED_respiratory_012,SITE_STOLLERY_INSPIRED,respiratory,2026-03-30,23,22,1,True
APPT_SITE_STOLLERY_INSPIRED_respiratory_013,SITE_STOLLERY_INSPIRED,respiratory,2026-04-06,19,17,2,True
APPT_SITE_STOLLERY_INSPIRED_respiratory_014,SITE_STOLLERY_INSPIRED,respiratory,2026-04-13,37,35,2,True
APPT_SITE_STOLLERY_INSPIRED_respiratory_015,SITE_STOLLERY_INSPIRED,respiratory,2026-04-20,38,36,2,True
APPT_SITE_STOLLERY_INSPIRED_respiratory_016,SITE_STOLLERY_INSPIRED,respiratory,2026-04-27,27,25,2,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_000,SITE_STOLLERY_INSPIRED,cardiology,2026-01-05,41,39,2,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_001,SITE_STOLLERY_INSPIRED,cardiology,2026-01-12,35,33,2,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_002,SITE_STOLLERY_INSPIRED,cardiology,2026-01-19,25,23,2,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_003,SITE_STOLLERY_INSPIRED,cardiology,2026-01-26,30,29,1,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_004,SITE_STOLLERY_INSPIRED,cardiology,2026-02-02,33,31,2,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_005,SITE_STOLLERY_INSPIRED,cardiology,2026-02-09,38,36,2,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_006,SITE_STOLLERY_INSPIRED,cardiology,2026-02-16,41,37,4,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_007,SITE_STOLLERY_INSPIRED,cardiology,2026-02-23,24,23,1,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_008,SITE_STOLLERY_INSPIRED,cardiology,2026-03-02,30,28,2,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_009,SITE_STOLLERY_INSPIRED,cardiology,2026-03-09,19,17,2,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_010,SITE_STOLLERY_INSPIRED,cardiology,2026-03-16,22,21,1,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_011,SITE_STOLLERY_INSPIRED,cardiology,2026-03-23,37,36,1,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_012,SITE_STOLLERY_INSPIRED,cardiology,2026-03-30,38,36,2,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_013,SITE_STOLLERY_INSPIRED,cardiology,2026-04-06,27,25,2,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_014,SITE_STOLLERY_INSPIRED,cardiology,2026-04-13,26,24,2,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_015,SITE_STOLLERY_INSPIRED,cardiology,2026-04-20,22,21,1,True
APPT_SITE_STOLLERY_INSPIRED_cardiology_016,SITE_STOLLERY_INSPIRED,cardiology,2026-04-27,36,33,3,True
APPT_SITE_STOLLERY_INSPIRED_neurology_000,SITE_STOLLERY_INSPIRED,neurology,2026-01-05,19,18,1,True
APPT_SITE_STOLLERY_INSPIRED_neurology_001,SITE_STOLLERY_INSPIRED,neurology,2026-01-12,38,36,2,True
APPT_SITE_STOLLERY_INSPIRED_neurology_002,SITE_STOLLERY_INSPIRED,neurology,2026-01-19,22,20,2,True
APPT_SITE_STOLLERY_INSPIRED_neurology_003,SITE_STOLLERY_INSPIRED,neurology,2026-01-26,23,22,1,True
APPT_SITE_STOLLERY_INSPIRED_neurology_004,SITE_STOLLERY_INSPIRED,neurology,2026-02-02,40,35,5,True
APPT_SITE_STOLLERY_INSPIRED_neurology_005,SITE_STOLLERY_INSPIRED,neurology,2026-02-09,19,18,1,True
APPT_SITE_STOLLERY_INSPIRED_neurology_006,SITE_STOLLERY_INSPIRED,neurology,2026-02-16,36,35,1,True
APPT_SITE_STOLLERY_INSPIRED_neurology_007,SITE_STOLLERY_INSPIRED,neurology,2026-02-23,41,37,4,True
APPT_SITE_STOLLERY_INSPIRED_neurology_008,SITE_STOLLERY_INSPIRED,neurology,2026-03-02,22,20,2,True
APPT_SITE_STOLLERY_INSPIRED_neurology_009,SITE_STOLLERY_INSPIRED,neurology,2026-03-09,19,18,1,True
