census_hour_id,site_id,unit_id,service_line,ts_hour,census,physical_beds,staffed_beds,effective_beds,occupancy_pct,respiratory_multiplier,ed_boarders,predicted_discharges,discharge_confidence,staffing_gap_pct,synthetic_demo
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010100,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T00:00:00,36,42,41,37,0.973,1.45,6,1,0.586,0.0661,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010101,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T01:00:00,34,42,42,40,0.85,1.45,0,1,0.793,0.0306,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010102,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T02:00:00,35,42,42,37,0.9459,1.45,0,1,0.683,0.0815,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010103,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T03:00:00,33,42,42,36,0.9167,1.45,3,1,0.711,0.1082,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010104,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T04:00:00,36,42,41,38,0.9474,1.45,3,1,0.837,0.0564,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010105,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T05:00:00,37,42,42,39,0.9487,1.45,4,2,0.764,0.0365,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010106,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T06:00:00,31,42,41,37,0.8378,1.45,1,0,0.668,0.0688,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010107,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T07:00:00,33,42,41,38,0.8684,1.45,1,4,0.753,0.0467,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010108,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T08:00:00,32,42,40,37,0.8649,1.45,2,2,0.602,0.0496,True
CENSUS_SITE_STOLLERY_INSPIRED_GEN_2026010109,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,general_pediatrics,2026-01-01T09:00:00,35,42,42,40,0.875,1.45,2,0,0.695,0.0199,True
