clinic_template_capacity_id,site_id,program,week_start_date,slots_available,slots_booked,completed_visits,no_show_rate,late_cancel_rate,virtual_share,new_visit_share,synthetic_demo
SLOT_SITE_STOLLERY_INSPIRED_respiratory_000,SITE_STOLLERY_INSPIRED,respiratory,2026-01-05,24,25,22,0.08,0.015,0.17,0.477,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_001,SITE_STOLLERY_INSPIRED,respiratory,2026-01-12,27,29,25,0.076,0.082,0.261,0.506,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_002,SITE_STOLLERY_INSPIRED,respiratory,2026-01-19,26,28,23,0.108,0.024,0.198,0.431,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_003,SITE_STOLLERY_INSPIRED,respiratory,2026-01-26,33,36,29,0.12,0.013,0.147,0.338,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_004,SITE_STOLLERY_INSPIRED,respiratory,2026-02-02,34,36,31,0.077,0.037,0.231,0.398,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_005,SITE_STOLLERY_INSPIRED,respiratory,2026-02-09,21,22,20,0.067,0.03,0.225,0.36,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_006,SITE_STOLLERY_INSPIRED,respiratory,2026-02-16,24,26,21,0.113,0.068,0.265,0.449,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_007,SITE_STOLLERY_INSPIRED,respiratory,2026-02-23,23,23,22,0.037,0.012,0.237,0.497,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_008,SITE_STOLLERY_INSPIRED,respiratory,2026-03-02,33,36,29,0.115,0.067,0.159,0.452,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_009,SITE_STOLLERY_INSPIRED,respiratory,2026-03-09,29,29,28,0.031,0.008,0.237,0.557,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_010,SITE_STOLLERY_INSPIRED,respiratory,2026-03-16,36,38,33,0.074,0.039,0.232,0.427,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_011,SITE_STOLLERY_INSPIRED,respiratory,2026-03-23,33,34,31,0.059,0.018,0.322,0.354,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_012,SITE_STOLLERY_INSPIRED,respiratory,2026-03-30,23,24,22,0.061,0.066,0.25,0.387,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_013,SITE_STOLLERY_INSPIRED,respiratory,2026-04-06,19,20,17,0.085,0.027,0.263,0.484,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_014,SITE_STOLLERY_INSPIRED,respiratory,2026-04-13,37,38,35,0.05,0.101,0.209,0.543,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_015,SITE_STOLLERY_INSPIRED,respiratory,2026-04-20,38,39,36,0.044,0.052,0.172,0.579,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_016,SITE_STOLLERY_INSPIRED,respiratory,2026-04-27,27,28,25,0.063,0.028,0.232,0.539,True
