open_resp_id,week_start_date,region,influenza_activity_index,rsv_activity_index,source_name,synthetic_context_fallback,community_demand_proxy_id,demand_proxy_index
OPEN_RESP_202601,2026-01-05,Alberta synthetic context,12.32,11.46,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202601,23.78
OPEN_RESP_202602,2026-01-12,Alberta synthetic context,12.32,11.46,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202602,23.78
OPEN_RESP_202603,2026-01-19,Alberta synthetic context,12.32,11.46,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202603,23.78
OPEN_RESP_202604,2026-01-26,Alberta synthetic context,12.32,11.46,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202604,23.78
OPEN_RESP_202605,2026-02-02,Alberta synthetic context,12.32,11.46,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202605,23.78
OPEN_RESP_202606,2026-02-09,Alberta synthetic context,12.32,11.46,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202606,23.78
OPEN_RESP_202607,2026-02-16,Alberta synthetic context,12.32,11.46,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202607,23.78
OPEN_RESP_202608,2026-02-23,Alberta synthetic context,12.32,11.46,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202608,23.78
OPEN_RESP_202609,2026-03-02,Alberta synthetic context,9.77,9.08,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202609,18.85
OPEN_RESP_202610,2026-03-09,Alberta synthetic context,9.77,9.08,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202610,18.85
OPEN_RESP_202611,2026-03-16,Alberta synthetic context,9.77,9.08,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202611,18.85
OPEN_RESP_202612,2026-03-23,Alberta synthetic context,9.77,9.08,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202612,18.85
OPEN_RESP_202613,2026-03-30,Alberta synthetic context,9.77,9.08,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202613,18.85
OPEN_RESP_202614,2026-04-06,Alberta synthetic context,7.65,7.11,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202614,14.760000000000002
OPEN_RESP_202615,2026-04-13,Alberta synthetic context,7.65,7.11,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202615,14.760000000000002
OPEN_RESP_202616,2026-04-20,Alberta synthetic context,7.65,7.11,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202616,14.760000000000002
OPEN_RESP_202617,2026-04-27,Alberta synthetic context,7.65,7.11,Fallback snapshot modelled from public surveillance pattern,True,OPEN_COMM_202617,14.760000000000002
