fct_diagnostic_queue_synth_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_DIAGNOSTIC_QUEUE_SYNTH_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,12,0.894,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,2,0.735,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,2,0.638,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,16,0.184,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,15,0.522,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,19,0.64,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,9,0.262,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,0,0.543,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,3,0.167,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,3,0.218,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,0,0.65,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,5,0.374,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,9,0.032,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,12,0.096,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,18,0.53,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,12,0.637,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,17,0.92,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,18,0.788,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,5,0.749,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,3,0.641,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,6,0.541,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,9,0.35,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,14,0.519,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,5,0.067,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,8,0.788,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,12,0.9,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,6,0.918,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,16,0.354,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,7,0.381,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,4,0.949,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,2,0.41,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,0,0.956,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,14,0.902,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,10,0.853,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,11,0.787,ok,True
FCT_DIAGNOSTIC_QUEUE_SYNTH_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,7,0.206,ok,True
