discharge_barrier_id,site_id,barrier_type,active_count,median_age_hours,synthetic_demo
BAR_SITE_STOLLERY_INSPIRED_MEDS,SITE_STOLLERY_INSPIRED,meds,12,30.0,True
BAR_SITE_STOLLERY_INSPIRED_TRANSPORT,SITE_STOLLERY_INSPIRED,transport,10,12.4,True
BAR_SITE_STOLLERY_INSPIRED_IMAGING,SITE_STOLLERY_INSPIRED,imaging,4,15.2,True
BAR_SITE_STOLLERY_INSPIRED_CONSULT,SITE_STOLLERY_INSPIRED,consult,6,25.1,True
BAR_SITE_STOLLERY_INSPIRED_FAMILY_READINESS,SITE_STOLLERY_INSPIRED,family_readiness,8,10.7,True
BAR_SITE_STOLLERY_INSPIRED_HOME_SUPPORTS,SITE_STOLLERY_INSPIRED,home_supports,6,11.5,True
BAR_SITE_STOLLERY_INSPIRED_EQUIPMENT,SITE_STOLLERY_INSPIRED,equipment,4,13.0,True
BAR_SITE_ACH_INSPIRED_MEDS,SITE_ACH_INSPIRED,meds,6,16.9,True
BAR_SITE_ACH_INSPIRED_TRANSPORT,SITE_ACH_INSPIRED,transport,9,9.4,True
BAR_SITE_ACH_INSPIRED_IMAGING,SITE_ACH_INSPIRED,imaging,7,15.2,True
BAR_SITE_ACH_INSPIRED_CONSULT,SITE_ACH_INSPIRED,consult,4,2.1,True
BAR_SITE_ACH_INSPIRED_FAMILY_READINESS,SITE_ACH_INSPIRED,family_readiness,6,4.2,True
BAR_SITE_ACH_INSPIRED_HOME_SUPPORTS,SITE_ACH_INSPIRED,home_supports,2,13.4,True
BAR_SITE_ACH_INSPIRED_EQUIPMENT,SITE_ACH_INSPIRED,equipment,6,35.0,True
BAR_SITE_PROV_NETWORK_MEDS,SITE_PROV_NETWORK,meds,9,11.8,True
BAR_SITE_PROV_NETWORK_TRANSPORT,SITE_PROV_NETWORK,transport,9,4.2,True
BAR_SITE_PROV_NETWORK_IMAGING,SITE_PROV_NETWORK,imaging,3,2.4,True
BAR_SITE_PROV_NETWORK_CONSULT,SITE_PROV_NETWORK,consult,3,19.8,True
BAR_SITE_PROV_NETWORK_FAMILY_READINESS,SITE_PROV_NETWORK,family_readiness,7,29.9,True
BAR_SITE_PROV_NETWORK_HOME_SUPPORTS,SITE_PROV_NETWORK,home_supports,6,20.7,True
BAR_SITE_PROV_NETWORK_EQUIPMENT,SITE_PROV_NETWORK,equipment,3,4.8,True
