fct_discharge_readiness_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_DISCHARGE_READINESS_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,9,0.773,ok,True
FCT_DISCHARGE_READINESS_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,13,0.564,ok,True
FCT_DISCHARGE_READINESS_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,13,0.585,ok,True
FCT_DISCHARGE_READINESS_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,18,0.831,ok,True
FCT_DISCHARGE_READINESS_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,1,0.544,ok,True
FCT_DISCHARGE_READINESS_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,11,0.683,ok,True
FCT_DISCHARGE_READINESS_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,3,0.504,ok,True
FCT_DISCHARGE_READINESS_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,6,0.221,ok,True
FCT_DISCHARGE_READINESS_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,1,0.637,ok,True
FCT_DISCHARGE_READINESS_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,15,0.094,ok,True
FCT_DISCHARGE_READINESS_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,13,0.196,ok,True
FCT_DISCHARGE_READINESS_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,5,0.767,ok,True
FCT_DISCHARGE_READINESS_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,5,0.818,ok,True
FCT_DISCHARGE_READINESS_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,6,0.401,ok,True
FCT_DISCHARGE_READINESS_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,1,0.174,review,True
FCT_DISCHARGE_READINESS_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,19,0.669,ok,True
FCT_DISCHARGE_READINESS_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,15,0.86,ok,True
FCT_DISCHARGE_READINESS_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,16,0.689,ok,True
FCT_DISCHARGE_READINESS_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,7,0.068,ok,True
FCT_DISCHARGE_READINESS_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,12,0.364,review,True
FCT_DISCHARGE_READINESS_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,12,0.916,review,True
FCT_DISCHARGE_READINESS_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,8,0.342,ok,True
FCT_DISCHARGE_READINESS_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,4,0.82,ok,True
FCT_DISCHARGE_READINESS_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,13,0.332,ok,True
FCT_DISCHARGE_READINESS_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,8,0.508,ok,True
FCT_DISCHARGE_READINESS_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,16,0.461,ok,True
FCT_DISCHARGE_READINESS_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,0,0.358,ok,True
FCT_DISCHARGE_READINESS_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,12,0.514,ok,True
FCT_DISCHARGE_READINESS_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,4,0.074,ok,True
FCT_DISCHARGE_READINESS_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,1,0.514,ok,True
FCT_DISCHARGE_READINESS_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,10,0.149,ok,True
FCT_DISCHARGE_READINESS_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,4,0.323,ok,True
FCT_DISCHARGE_READINESS_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,17,0.406,ok,True
FCT_DISCHARGE_READINESS_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,1,0.675,review,True
FCT_DISCHARGE_READINESS_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,7,0.194,ok,True
FCT_DISCHARGE_READINESS_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,15,1.0,ok,True
