fct_ed_to_inpatient_flow_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_ED_TO_INPATIENT_FLOW_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,1,0.539,ok,True
FCT_ED_TO_INPATIENT_FLOW_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,11,0.532,ok,True
FCT_ED_TO_INPATIENT_FLOW_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,4,0.64,ok,True
FCT_ED_TO_INPATIENT_FLOW_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,14,0.265,ok,True
FCT_ED_TO_INPATIENT_FLOW_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,17,0.776,ok,True
FCT_ED_TO_INPATIENT_FLOW_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,16,0.72,ok,True
FCT_ED_TO_INPATIENT_FLOW_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,9,0.608,ok,True
FCT_ED_TO_INPATIENT_FLOW_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,2,0.577,ok,True
FCT_ED_TO_INPATIENT_FLOW_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,13,0.503,ok,True
FCT_ED_TO_INPATIENT_FLOW_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,19,0.229,ok,True
FCT_ED_TO_INPATIENT_FLOW_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,18,0.383,ok,True
FCT_ED_TO_INPATIENT_FLOW_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,12,0.617,ok,True
FCT_ED_TO_INPATIENT_FLOW_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,1,0.255,ok,True
FCT_ED_TO_INPATIENT_FLOW_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,15,0.943,ok,True
FCT_ED_TO_INPATIENT_FLOW_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,11,0.827,ok,True
FCT_ED_TO_INPATIENT_FLOW_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,2,0.112,ok,True
FCT_ED_TO_INPATIENT_FLOW_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,11,0.966,ok,True
FCT_ED_TO_INPATIENT_FLOW_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,8,0.179,ok,True
FCT_ED_TO_INPATIENT_FLOW_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,8,0.863,ok,True
FCT_ED_TO_INPATIENT_FLOW_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,19,0.184,ok,True
FCT_ED_TO_INPATIENT_FLOW_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,11,0.735,ok,True
FCT_ED_TO_INPATIENT_FLOW_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,14,0.277,ok,True
FCT_ED_TO_INPATIENT_FLOW_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,15,0.087,ok,True
FCT_ED_TO_INPATIENT_FLOW_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,7,0.553,ok,True
FCT_ED_TO_INPATIENT_FLOW_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,1,0.769,ok,True
FCT_ED_TO_INPATIENT_FLOW_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,13,0.548,ok,True
FCT_ED_TO_INPATIENT_FLOW_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,8,0.609,ok,True
FCT_ED_TO_INPATIENT_FLOW_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,18,0.849,ok,True
FCT_ED_TO_INPATIENT_FLOW_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,15,0.905,ok,True
FCT_ED_TO_INPATIENT_FLOW_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,8,0.252,ok,True
FCT_ED_TO_INPATIENT_FLOW_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,19,0.496,ok,True
FCT_ED_TO_INPATIENT_FLOW_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,8,0.391,ok,True
FCT_ED_TO_INPATIENT_FLOW_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,0,0.891,ok,True
FCT_ED_TO_INPATIENT_FLOW_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,19,0.564,ok,True
FCT_ED_TO_INPATIENT_FLOW_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,15,0.672,ok,True
FCT_ED_TO_INPATIENT_FLOW_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,14,0.617,ok,True
