fct_imaging_turnaround_synth_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_IMAGING_TURNAROUND_SYNTH_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,17,0.093,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,10,0.032,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,5,0.882,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,17,0.349,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,13,0.122,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,19,0.598,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,1,0.767,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,16,0.385,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,10,0.111,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,17,0.064,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,0,0.859,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,1,0.533,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,19,0.253,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,11,0.877,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,15,0.67,review,True
FCT_IMAGING_TURNAROUND_SYNTH_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,9,0.506,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,3,0.097,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,11,0.252,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,1,0.681,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,16,0.812,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,15,0.924,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,0,0.851,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,15,0.228,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,17,0.397,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,13,0.205,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,7,0.654,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,11,0.92,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,6,0.683,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,10,0.865,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,8,0.588,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,14,0.005,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,3,0.936,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,4,0.695,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,18,0.463,review,True
FCT_IMAGING_TURNAROUND_SYNTH_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,13,0.928,ok,True
FCT_IMAGING_TURNAROUND_SYNTH_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,13,0.664,ok,True
