fct_inpatient_encounter_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_INPATIENT_ENCOUNTER_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,3,0.426,ok,True
FCT_INPATIENT_ENCOUNTER_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,6,0.918,ok,True
FCT_INPATIENT_ENCOUNTER_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,19,0.932,ok,True
FCT_INPATIENT_ENCOUNTER_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,14,0.747,ok,True
FCT_INPATIENT_ENCOUNTER_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,14,0.16,ok,True
FCT_INPATIENT_ENCOUNTER_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,0,0.502,ok,True
FCT_INPATIENT_ENCOUNTER_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,18,0.761,ok,True
FCT_INPATIENT_ENCOUNTER_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,2,0.052,ok,True
FCT_INPATIENT_ENCOUNTER_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,4,0.278,review,True
FCT_INPATIENT_ENCOUNTER_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,19,0.933,ok,True
FCT_INPATIENT_ENCOUNTER_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,7,0.291,review,True
FCT_INPATIENT_ENCOUNTER_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,3,0.645,ok,True
FCT_INPATIENT_ENCOUNTER_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,9,0.819,ok,True
FCT_INPATIENT_ENCOUNTER_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,17,0.324,ok,True
FCT_INPATIENT_ENCOUNTER_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,0,0.866,ok,True
FCT_INPATIENT_ENCOUNTER_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,15,0.72,ok,True
FCT_INPATIENT_ENCOUNTER_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,18,0.925,ok,True
FCT_INPATIENT_ENCOUNTER_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,7,0.041,ok,True
FCT_INPATIENT_ENCOUNTER_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,18,0.383,ok,True
FCT_INPATIENT_ENCOUNTER_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,17,0.8,ok,True
FCT_INPATIENT_ENCOUNTER_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,12,0.584,ok,True
FCT_INPATIENT_ENCOUNTER_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,19,0.043,ok,True
FCT_INPATIENT_ENCOUNTER_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,10,0.508,ok,True
FCT_INPATIENT_ENCOUNTER_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,2,0.408,ok,True
FCT_INPATIENT_ENCOUNTER_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,4,0.633,ok,True
FCT_INPATIENT_ENCOUNTER_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,15,0.909,ok,True
FCT_INPATIENT_ENCOUNTER_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,15,0.81,ok,True
FCT_INPATIENT_ENCOUNTER_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,5,0.904,ok,True
FCT_INPATIENT_ENCOUNTER_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,19,0.071,ok,True
FCT_INPATIENT_ENCOUNTER_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,3,0.141,ok,True
FCT_INPATIENT_ENCOUNTER_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,16,0.903,ok,True
FCT_INPATIENT_ENCOUNTER_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,14,0.397,ok,True
FCT_INPATIENT_ENCOUNTER_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,13,0.554,ok,True
FCT_INPATIENT_ENCOUNTER_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,19,0.502,ok,True
FCT_INPATIENT_ENCOUNTER_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,2,0.879,ok,True
FCT_INPATIENT_ENCOUNTER_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,0,0.48,ok,True
