fct_lab_order_turnaround_synth_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_LAB_ORDER_TURNAROUND_SYNTH_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,5,0.77,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,18,0.712,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,6,0.665,review,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,3,0.935,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,3,0.073,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,2,0.01,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,0,0.731,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,15,0.954,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,4,0.584,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,18,0.903,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,19,0.353,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,13,0.205,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,16,0.656,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,8,0.732,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,2,0.655,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,1,0.213,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,3,0.112,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,1,0.772,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,0,0.348,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,6,0.368,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,6,0.07,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,11,0.33,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,16,0.29,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,13,0.305,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,12,0.557,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,6,0.131,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,16,0.348,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,10,0.826,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,14,0.538,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,0,0.422,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,7,0.353,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,0,0.575,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,14,0.168,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,4,0.114,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,8,0.7,ok,True
FCT_LAB_ORDER_TURNAROUND_SYNTH_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,8,0.515,ok,True
