fct_length_of_stay_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_LENGTH_OF_STAY_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,5,0.401,ok,True
FCT_LENGTH_OF_STAY_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,9,0.232,ok,True
FCT_LENGTH_OF_STAY_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,10,0.588,ok,True
FCT_LENGTH_OF_STAY_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,19,0.202,ok,True
FCT_LENGTH_OF_STAY_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,16,0.638,ok,True
FCT_LENGTH_OF_STAY_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,6,0.426,ok,True
FCT_LENGTH_OF_STAY_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,13,0.212,ok,True
FCT_LENGTH_OF_STAY_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,8,0.522,ok,True
FCT_LENGTH_OF_STAY_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,12,0.112,ok,True
FCT_LENGTH_OF_STAY_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,10,0.424,ok,True
FCT_LENGTH_OF_STAY_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,12,0.26,ok,True
FCT_LENGTH_OF_STAY_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,0,0.857,ok,True
FCT_LENGTH_OF_STAY_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,3,0.798,ok,True
FCT_LENGTH_OF_STAY_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,12,0.823,ok,True
FCT_LENGTH_OF_STAY_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,12,0.371,ok,True
FCT_LENGTH_OF_STAY_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,0,0.468,ok,True
FCT_LENGTH_OF_STAY_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,5,0.652,ok,True
FCT_LENGTH_OF_STAY_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,9,0.729,ok,True
FCT_LENGTH_OF_STAY_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,15,0.77,ok,True
FCT_LENGTH_OF_STAY_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,5,0.384,ok,True
FCT_LENGTH_OF_STAY_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,4,0.087,ok,True
FCT_LENGTH_OF_STAY_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,2,0.009,ok,True
FCT_LENGTH_OF_STAY_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,19,0.139,ok,True
FCT_LENGTH_OF_STAY_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,10,0.904,ok,True
FCT_LENGTH_OF_STAY_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,16,0.586,ok,True
FCT_LENGTH_OF_STAY_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,5,0.56,ok,True
FCT_LENGTH_OF_STAY_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,0,0.748,ok,True
FCT_LENGTH_OF_STAY_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,10,0.997,ok,True
FCT_LENGTH_OF_STAY_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,10,0.888,ok,True
FCT_LENGTH_OF_STAY_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,11,0.25,ok,True
FCT_LENGTH_OF_STAY_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,16,0.361,ok,True
FCT_LENGTH_OF_STAY_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,19,0.797,ok,True
FCT_LENGTH_OF_STAY_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,7,0.094,ok,True
FCT_LENGTH_OF_STAY_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,13,0.634,ok,True
FCT_LENGTH_OF_STAY_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,3,0.32,ok,True
FCT_LENGTH_OF_STAY_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,3,0.871,ok,True
