no_show_late_cancel_id,site_id,program,week_start_date,no_show_rate,late_cancel_rate,synthetic_demo
SLOT_SITE_STOLLERY_INSPIRED_respiratory_000,SITE_STOLLERY_INSPIRED,respiratory,2026-01-05,0.08,0.015,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_001,SITE_STOLLERY_INSPIRED,respiratory,2026-01-12,0.076,0.082,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_002,SITE_STOLLERY_INSPIRED,respiratory,2026-01-19,0.108,0.024,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_003,SITE_STOLLERY_INSPIRED,respiratory,2026-01-26,0.12,0.013,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_004,SITE_STOLLERY_INSPIRED,respiratory,2026-02-02,0.077,0.037,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_005,SITE_STOLLERY_INSPIRED,respiratory,2026-02-09,0.067,0.03,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_006,SITE_STOLLERY_INSPIRED,respiratory,2026-02-16,0.113,0.068,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_007,SITE_STOLLERY_INSPIRED,respiratory,2026-02-23,0.037,0.012,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_008,SITE_STOLLERY_INSPIRED,respiratory,2026-03-02,0.115,0.067,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_009,SITE_STOLLERY_INSPIRED,respiratory,2026-03-09,0.031,0.008,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_010,SITE_STOLLERY_INSPIRED,respiratory,2026-03-16,0.074,0.039,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_011,SITE_STOLLERY_INSPIRED,respiratory,2026-03-23,0.059,0.018,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_012,SITE_STOLLERY_INSPIRED,respiratory,2026-03-30,0.061,0.066,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_013,SITE_STOLLERY_INSPIRED,respiratory,2026-04-06,0.085,0.027,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_014,SITE_STOLLERY_INSPIRED,respiratory,2026-04-13,0.05,0.101,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_015,SITE_STOLLERY_INSPIRED,respiratory,2026-04-20,0.044,0.052,True
SLOT_SITE_STOLLERY_INSPIRED_respiratory_016,SITE_STOLLERY_INSPIRED,respiratory,2026-04-27,0.063,0.028,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_000,SITE_STOLLERY_INSPIRED,cardiology,2026-01-05,0.057,0.052,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_001,SITE_STOLLERY_INSPIRED,cardiology,2026-01-12,0.059,0.029,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_002,SITE_STOLLERY_INSPIRED,cardiology,2026-01-19,0.099,0.039,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_003,SITE_STOLLERY_INSPIRED,cardiology,2026-01-26,0.043,0.042,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_004,SITE_STOLLERY_INSPIRED,cardiology,2026-02-02,0.053,0.03,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_005,SITE_STOLLERY_INSPIRED,cardiology,2026-02-09,0.043,0.031,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_006,SITE_STOLLERY_INSPIRED,cardiology,2026-02-16,0.095,0.029,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_007,SITE_STOLLERY_INSPIRED,cardiology,2026-02-23,0.058,0.048,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_008,SITE_STOLLERY_INSPIRED,cardiology,2026-03-02,0.062,0.029,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_009,SITE_STOLLERY_INSPIRED,cardiology,2026-03-09,0.108,0.042,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_010,SITE_STOLLERY_INSPIRED,cardiology,2026-03-16,0.055,0.045,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_011,SITE_STOLLERY_INSPIRED,cardiology,2026-03-23,0.033,0.03,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_012,SITE_STOLLERY_INSPIRED,cardiology,2026-03-30,0.062,0.024,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_013,SITE_STOLLERY_INSPIRED,cardiology,2026-04-06,0.065,0.052,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_014,SITE_STOLLERY_INSPIRED,cardiology,2026-04-13,0.063,0.009,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_015,SITE_STOLLERY_INSPIRED,cardiology,2026-04-20,0.056,0.035,True
SLOT_SITE_STOLLERY_INSPIRED_cardiology_016,SITE_STOLLERY_INSPIRED,cardiology,2026-04-27,0.076,0.017,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_000,SITE_STOLLERY_INSPIRED,neurology,2026-01-05,0.063,0.056,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_001,SITE_STOLLERY_INSPIRED,neurology,2026-01-12,0.052,0.043,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_002,SITE_STOLLERY_INSPIRED,neurology,2026-01-19,0.102,0.011,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_003,SITE_STOLLERY_INSPIRED,neurology,2026-01-26,0.026,0.016,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_004,SITE_STOLLERY_INSPIRED,neurology,2026-02-02,0.119,0.035,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_005,SITE_STOLLERY_INSPIRED,neurology,2026-02-09,0.063,0.056,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_006,SITE_STOLLERY_INSPIRED,neurology,2026-02-16,0.029,0.043,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_007,SITE_STOLLERY_INSPIRED,neurology,2026-02-23,0.094,0.05,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_008,SITE_STOLLERY_INSPIRED,neurology,2026-03-02,0.084,0.043,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_009,SITE_STOLLERY_INSPIRED,neurology,2026-03-09,0.068,0.034,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_010,SITE_STOLLERY_INSPIRED,neurology,2026-03-16,0.101,0.028,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_011,SITE_STOLLERY_INSPIRED,neurology,2026-03-23,0.084,0.086,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_012,SITE_STOLLERY_INSPIRED,neurology,2026-03-30,0.056,0.016,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_013,SITE_STOLLERY_INSPIRED,neurology,2026-04-06,0.067,0.029,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_014,SITE_STOLLERY_INSPIRED,neurology,2026-04-13,0.066,0.049,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_015,SITE_STOLLERY_INSPIRED,neurology,2026-04-20,0.099,0.027,True
SLOT_SITE_STOLLERY_INSPIRED_neurology_016,SITE_STOLLERY_INSPIRED,neurology,2026-04-27,0.102,0.03,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_000,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-05,0.114,0.035,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_001,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-12,0.041,0.013,True
SLOT_SITE_STOLLERY_INSPIRED_surgery_followup_002,SITE_STOLLERY_INSPIRED,surgery_followup,2026-01-19,0.076,0.013,True
