fct_or_case_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_OR_CASE_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,15,0.309,ok,True
FCT_OR_CASE_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,13,0.291,ok,True
FCT_OR_CASE_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,6,0.121,ok,True
FCT_OR_CASE_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,6,0.912,ok,True
FCT_OR_CASE_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,0,0.006,ok,True
FCT_OR_CASE_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,7,0.131,ok,True
FCT_OR_CASE_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,8,0.373,ok,True
FCT_OR_CASE_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,4,0.233,ok,True
FCT_OR_CASE_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,17,0.951,ok,True
FCT_OR_CASE_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,9,0.254,ok,True
FCT_OR_CASE_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,9,0.482,ok,True
FCT_OR_CASE_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,11,0.253,ok,True
FCT_OR_CASE_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,5,0.62,ok,True
FCT_OR_CASE_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,1,0.331,ok,True
FCT_OR_CASE_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,9,0.707,ok,True
FCT_OR_CASE_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,10,0.206,ok,True
FCT_OR_CASE_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,7,0.124,ok,True
FCT_OR_CASE_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,12,0.391,ok,True
FCT_OR_CASE_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,0,0.623,ok,True
FCT_OR_CASE_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,5,0.505,ok,True
FCT_OR_CASE_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,2,0.059,ok,True
FCT_OR_CASE_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,17,0.598,ok,True
FCT_OR_CASE_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,13,0.762,ok,True
FCT_OR_CASE_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,0,0.578,ok,True
FCT_OR_CASE_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,1,0.12,ok,True
FCT_OR_CASE_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,5,0.018,ok,True
FCT_OR_CASE_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,16,0.439,ok,True
FCT_OR_CASE_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,6,0.545,ok,True
FCT_OR_CASE_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,15,0.652,ok,True
FCT_OR_CASE_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,12,0.847,ok,True
FCT_OR_CASE_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,7,0.076,ok,True
FCT_OR_CASE_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,10,0.762,ok,True
FCT_OR_CASE_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,2,0.946,ok,True
FCT_OR_CASE_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,8,0.431,ok,True
FCT_OR_CASE_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,17,0.924,ok,True
FCT_OR_CASE_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,11,0.289,ok,True
