fct_overdue_followup_synth_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_OVERDUE_FOLLOWUP_SYNTH_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,13,0.824,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,8,0.156,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,15,0.538,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,12,0.33,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,12,0.444,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,1,0.885,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,2,0.004,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,0,0.506,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,13,0.101,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,16,0.535,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,9,0.153,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,16,0.806,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,9,0.84,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,16,0.214,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,4,0.88,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,14,0.389,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,6,0.919,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,5,0.641,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,9,0.323,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,12,0.71,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,9,0.308,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,4,0.531,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,13,0.022,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,1,0.383,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,2,0.336,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,11,0.048,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,5,0.614,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,18,0.676,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,16,0.297,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,4,0.549,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,16,0.941,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,10,0.567,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,13,0.94,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,9,0.121,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,8,0.574,ok,True
FCT_OVERDUE_FOLLOWUP_SYNTH_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,15,0.214,ok,True
