fct_pacu_and_procedural_recovery_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_PACU_AND_PROCEDURAL_RECOVERY_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,3,0.653,review,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,8,0.5,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,19,0.036,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,11,0.831,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,13,0.27,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,12,0.1,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,15,0.591,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,14,0.763,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,0,0.621,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,1,0.017,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,5,0.752,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,2,0.272,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,17,0.018,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,5,0.399,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,18,0.028,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,19,0.447,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,4,0.772,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,11,0.453,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,1,0.438,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,7,0.546,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,3,0.825,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,14,0.701,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,7,0.129,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,17,0.376,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,1,0.972,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,16,0.287,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,13,0.413,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,13,0.983,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,10,0.232,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,18,0.942,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,15,0.308,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,11,0.272,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,16,0.363,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,14,0.411,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,17,0.49,ok,True
FCT_PACU_AND_PROCEDURAL_RECOVERY_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,6,0.567,ok,True
