fct_pharmacy_discharge_med_synth_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,4,0.337,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,3,0.675,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,2,0.917,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,1,0.609,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,8,0.274,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,12,0.59,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,19,0.411,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,14,0.34,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,1,0.712,review,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,11,0.603,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,15,0.129,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,9,0.415,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,8,0.537,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,16,0.908,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,12,0.869,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,6,0.569,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,16,0.552,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,3,0.362,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,3,0.674,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,9,0.851,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,17,0.529,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,3,0.96,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,16,0.492,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,1,0.392,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,5,0.231,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,19,0.845,review,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,12,0.817,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,14,0.616,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,7,0.808,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,4,0.093,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,18,0.636,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,3,0.464,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,19,0.778,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,18,0.882,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,15,0.209,ok,True
FCT_PHARMACY_DISCHARGE_MED_SYNTH_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,11,0.433,ok,True
