fct_post_discharge_followup_synth_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,7,0.794,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,8,0.9,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,14,0.758,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,18,0.156,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,14,0.228,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,6,0.403,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,14,0.432,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,9,0.368,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,7,0.962,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,10,0.95,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,8,0.382,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,6,0.305,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,17,0.291,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,10,0.866,ok,True
FCT_POST_DISCHARGE_FOLLOWUP_SYNTH_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,6,0.71,ok,True
