fct_procedure_queue_synth_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_PROCEDURE_QUEUE_SYNTH_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,9,0.972,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,6,0.266,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,12,0.252,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,18,0.259,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,1,0.791,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,10,0.811,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,6,0.906,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,18,0.393,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,14,0.315,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,16,0.899,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,18,0.672,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,9,0.908,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,10,0.645,review,True
FCT_PROCEDURE_QUEUE_SYNTH_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,16,0.398,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,16,0.81,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,11,0.9,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,17,0.549,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,14,0.613,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,18,0.119,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,2,0.432,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,18,0.699,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,4,0.853,review,True
FCT_PROCEDURE_QUEUE_SYNTH_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,10,0.164,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,11,0.727,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,15,0.874,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,14,0.71,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,14,0.776,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,7,0.496,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,15,0.239,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,1,0.463,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,10,0.618,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,2,0.383,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,19,0.349,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,0,0.26,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,10,0.42,ok,True
FCT_PROCEDURE_QUEUE_SYNTH_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,5,0.543,ok,True
