fct_provider_availability_synth_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_PROVIDER_AVAILABILITY_SYNTH_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,15,0.533,review,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,3,0.385,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,7,0.141,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,8,0.902,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,11,0.334,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,13,0.544,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,1,0.334,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,9,0.699,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,4,0.405,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,13,0.185,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,0,0.612,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,19,0.667,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,11,0.285,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,0,0.58,review,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,5,0.212,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,17,0.616,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,9,0.859,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,16,0.772,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,14,0.713,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,5,0.209,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,12,0.946,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,5,0.049,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,19,0.889,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,2,0.074,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,11,0.185,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,14,0.239,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,10,0.56,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,12,0.689,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,0,0.237,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,16,0.376,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,6,0.327,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,9,0.987,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,5,0.066,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,7,0.139,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,12,0.359,ok,True
FCT_PROVIDER_AVAILABILITY_SYNTH_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,5,0.008,ok,True
