open_resp_id,week_start_date,region,influenza_activity_index,rsv_activity_index,source_name,synthetic_context_fallback,public_health_alert_id,seasonal_event_label
OPEN_RESP_202601,2026-01-05,Alberta synthetic context,12.32,11.46,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202601,respiratory surge watch
OPEN_RESP_202602,2026-01-12,Alberta synthetic context,12.32,11.46,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202602,respiratory surge watch
OPEN_RESP_202603,2026-01-19,Alberta synthetic context,12.32,11.46,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202603,respiratory surge watch
OPEN_RESP_202604,2026-01-26,Alberta synthetic context,12.32,11.46,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202604,respiratory surge watch
OPEN_RESP_202605,2026-02-02,Alberta synthetic context,12.32,11.46,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202605,respiratory surge watch
OPEN_RESP_202606,2026-02-09,Alberta synthetic context,12.32,11.46,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202606,respiratory surge watch
OPEN_RESP_202607,2026-02-16,Alberta synthetic context,12.32,11.46,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202607,respiratory surge watch
OPEN_RESP_202608,2026-02-23,Alberta synthetic context,12.32,11.46,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202608,respiratory surge watch
OPEN_RESP_202609,2026-03-02,Alberta synthetic context,9.77,9.08,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202609,seasonal baseline
OPEN_RESP_202610,2026-03-09,Alberta synthetic context,9.77,9.08,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202610,seasonal baseline
OPEN_RESP_202611,2026-03-16,Alberta synthetic context,9.77,9.08,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202611,seasonal baseline
OPEN_RESP_202612,2026-03-23,Alberta synthetic context,9.77,9.08,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202612,seasonal baseline
OPEN_RESP_202613,2026-03-30,Alberta synthetic context,9.77,9.08,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202613,seasonal baseline
OPEN_RESP_202614,2026-04-06,Alberta synthetic context,7.65,7.11,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202614,seasonal baseline
OPEN_RESP_202615,2026-04-13,Alberta synthetic context,7.65,7.11,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202615,seasonal baseline
OPEN_RESP_202616,2026-04-20,Alberta synthetic context,7.65,7.11,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202616,seasonal baseline
OPEN_RESP_202617,2026-04-27,Alberta synthetic context,7.65,7.11,Fallback snapshot modelled from public surveillance pattern,True,OPEN_ALERT_202617,seasonal baseline
