fct_readmission_synth_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_READMISSION_SYNTH_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,6,0.395,ok,True
FCT_READMISSION_SYNTH_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,5,0.357,ok,True
FCT_READMISSION_SYNTH_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,9,0.206,ok,True
FCT_READMISSION_SYNTH_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,1,0.815,ok,True
FCT_READMISSION_SYNTH_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,3,0.814,ok,True
FCT_READMISSION_SYNTH_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,17,0.503,ok,True
FCT_READMISSION_SYNTH_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,10,0.727,ok,True
FCT_READMISSION_SYNTH_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,17,0.252,ok,True
FCT_READMISSION_SYNTH_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,7,0.492,ok,True
FCT_READMISSION_SYNTH_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,5,0.891,ok,True
FCT_READMISSION_SYNTH_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,5,0.142,ok,True
FCT_READMISSION_SYNTH_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,8,0.946,ok,True
FCT_READMISSION_SYNTH_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,15,0.733,ok,True
FCT_READMISSION_SYNTH_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,1,0.518,ok,True
FCT_READMISSION_SYNTH_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,7,0.552,ok,True
FCT_READMISSION_SYNTH_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,19,0.794,ok,True
FCT_READMISSION_SYNTH_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,11,0.188,ok,True
FCT_READMISSION_SYNTH_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,17,0.56,ok,True
FCT_READMISSION_SYNTH_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,12,0.432,ok,True
FCT_READMISSION_SYNTH_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,14,0.602,ok,True
FCT_READMISSION_SYNTH_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,17,0.898,ok,True
FCT_READMISSION_SYNTH_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,19,0.954,ok,True
FCT_READMISSION_SYNTH_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,16,0.775,ok,True
FCT_READMISSION_SYNTH_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,9,0.914,review,True
FCT_READMISSION_SYNTH_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,14,0.88,ok,True
FCT_READMISSION_SYNTH_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,14,0.583,ok,True
FCT_READMISSION_SYNTH_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,9,0.397,ok,True
FCT_READMISSION_SYNTH_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,17,0.887,ok,True
FCT_READMISSION_SYNTH_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,5,0.781,ok,True
FCT_READMISSION_SYNTH_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,2,0.165,ok,True
FCT_READMISSION_SYNTH_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,10,0.677,ok,True
FCT_READMISSION_SYNTH_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,0,0.563,ok,True
FCT_READMISSION_SYNTH_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,17,0.885,ok,True
FCT_READMISSION_SYNTH_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,16,0.125,ok,True
FCT_READMISSION_SYNTH_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,5,0.089,ok,True
FCT_READMISSION_SYNTH_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,19,0.796,ok,True
