referral_triage_id,site_id,program,week_start_date,new_referrals,urgent_referrals,triage_turnaround_median_days,referral_completeness_pct,duplicate_referral_count_synth,synthetic_demo
REF_SITE_STOLLERY_INSPIRED_respiratory_000,SITE_STOLLERY_INSPIRED,respiratory,2026-01-05,26,6,2.4,0.915,0,True
REF_SITE_STOLLERY_INSPIRED_respiratory_001,SITE_STOLLERY_INSPIRED,respiratory,2026-01-12,31,0,3.0,0.904,1,True
REF_SITE_STOLLERY_INSPIRED_respiratory_002,SITE_STOLLERY_INSPIRED,respiratory,2026-01-19,33,6,3.0,0.886,0,True
REF_SITE_STOLLERY_INSPIRED_respiratory_003,SITE_STOLLERY_INSPIRED,respiratory,2026-01-26,27,5,1.0,0.966,0,True
REF_SITE_STOLLERY_INSPIRED_respiratory_004,SITE_STOLLERY_INSPIRED,respiratory,2026-02-02,33,7,0.0,0.912,0,True
REF_SITE_STOLLERY_INSPIRED_respiratory_005,SITE_STOLLERY_INSPIRED,respiratory,2026-02-09,30,2,3.3,0.841,0,True
REF_SITE_STOLLERY_INSPIRED_respiratory_006,SITE_STOLLERY_INSPIRED,respiratory,2026-02-16,26,8,2.3,0.881,0,True
REF_SITE_STOLLERY_INSPIRED_respiratory_007,SITE_STOLLERY_INSPIRED,respiratory,2026-02-23,32,1,1.9,0.97,0,True
REF_SITE_STOLLERY_INSPIRED_respiratory_008,SITE_STOLLERY_INSPIRED,respiratory,2026-03-02,22,3,1.6,0.897,1,True
REF_SITE_STOLLERY_INSPIRED_respiratory_009,SITE_STOLLERY_INSPIRED,respiratory,2026-03-09,29,5,1.7,0.951,0,True
REF_SITE_STOLLERY_INSPIRED_respiratory_010,SITE_STOLLERY_INSPIRED,respiratory,2026-03-16,24,5,1.5,0.896,0,True
REF_SITE_STOLLERY_INSPIRED_respiratory_011,SITE_STOLLERY_INSPIRED,respiratory,2026-03-23,27,5,1.4,0.98,1,True
REF_SITE_STOLLERY_INSPIRED_respiratory_012,SITE_STOLLERY_INSPIRED,respiratory,2026-03-30,29,4,7.2,0.921,0,True
REF_SITE_STOLLERY_INSPIRED_respiratory_013,SITE_STOLLERY_INSPIRED,respiratory,2026-04-06,21,3,0.4,0.922,0,True
REF_SITE_STOLLERY_INSPIRED_respiratory_014,SITE_STOLLERY_INSPIRED,respiratory,2026-04-13,20,3,1.6,0.879,0,True
REF_SITE_STOLLERY_INSPIRED_respiratory_015,SITE_STOLLERY_INSPIRED,respiratory,2026-04-20,23,4,0.6,0.924,1,True
REF_SITE_STOLLERY_INSPIRED_respiratory_016,SITE_STOLLERY_INSPIRED,respiratory,2026-04-27,15,2,1.0,0.947,0,True
REF_SITE_STOLLERY_INSPIRED_cardiology_000,SITE_STOLLERY_INSPIRED,cardiology,2026-01-05,24,2,1.2,0.961,0,True
REF_SITE_STOLLERY_INSPIRED_cardiology_001,SITE_STOLLERY_INSPIRED,cardiology,2026-01-12,17,2,4.6,0.935,0,True
REF_SITE_STOLLERY_INSPIRED_cardiology_002,SITE_STOLLERY_INSPIRED,cardiology,2026-01-19,17,1,4.3,0.877,1,True
REF_SITE_STOLLERY_INSPIRED_cardiology_003,SITE_STOLLERY_INSPIRED,cardiology,2026-01-26,30,3,2.0,0.971,0,True
REF_SITE_STOLLERY_INSPIRED_cardiology_004,SITE_STOLLERY_INSPIRED,cardiology,2026-02-02,22,2,0.2,0.922,0,True
REF_SITE_STOLLERY_INSPIRED_cardiology_005,SITE_STOLLERY_INSPIRED,cardiology,2026-02-09,19,4,0.7,0.942,0,True
REF_SITE_STOLLERY_INSPIRED_cardiology_006,SITE_STOLLERY_INSPIRED,cardiology,2026-02-16,14,2,1.4,0.931,0,True
REF_SITE_STOLLERY_INSPIRED_cardiology_007,SITE_STOLLERY_INSPIRED,cardiology,2026-02-23,27,5,1.2,0.897,1,True
