safety_signal_id,site_id,unit_id,event_date,deterioration_watch_count_synth,sepsis_screen_signal_count_synth,medication_process_signal_count_synth,synthetic_demo
SAFE_SITE_STOLLERY_INSPIRED_GEN_20260101,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01,3,0,1,True
SAFE_SITE_STOLLERY_INSPIRED_GEN_20260102,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-02,2,0,0,True
SAFE_SITE_STOLLERY_INSPIRED_GEN_20260103,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-03,4,0,0,True
SAFE_SITE_STOLLERY_INSPIRED_GEN_20260104,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-04,2,0,1,True
SAFE_SITE_STOLLERY_INSPIRED_GEN_20260105,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-05,1,1,0,True
SAFE_SITE_STOLLERY_INSPIRED_GEN_20260106,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-06,1,2,0,True
SAFE_SITE_STOLLERY_INSPIRED_GEN_20260107,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-07,3,0,0,True
SAFE_SITE_STOLLERY_INSPIRED_GEN_20260108,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-08,1,0,1,True
SAFE_SITE_STOLLERY_INSPIRED_GEN_20260109,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-09,0,0,0,True
SAFE_SITE_STOLLERY_INSPIRED_GEN_20260110,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-10,3,0,3,True
SAFE_SITE_STOLLERY_INSPIRED_GEN_20260111,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-11,0,0,0,True
SAFE_SITE_STOLLERY_INSPIRED_GEN_20260112,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-12,1,1,0,True
