staffing_roster_id,site_id,unit_id,ts_hour,scheduled_staffing_hours,required_staffing_hours,staffing_gap_pct,skill_mix_proxy,synthetic_demo
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010100,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T00:00:00,103.6,109.8,0.0661,0.8146194261225588,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010101,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T01:00:00,112.0,103.7,0.0306,0.8728288205977931,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010102,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T02:00:00,103.6,106.8,0.0815,0.8444240407399525,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010103,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T03:00:00,100.8,100.6,0.1082,1.0,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010104,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T04:00:00,106.4,109.8,0.0564,0.9466538913357002,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010105,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T05:00:00,109.2,112.8,0.0365,0.9747705883963256,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010106,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T06:00:00,103.6,94.5,0.0688,0.8243984794121954,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010107,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T07:00:00,106.4,100.6,0.0467,0.8872040821531344,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010108,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T08:00:00,103.6,97.6,0.0496,0.8847668904743485,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010109,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T09:00:00,112.0,106.8,0.0199,0.8032700825019126,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010110,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T10:00:00,100.8,106.8,0.097,0.8303366194420525,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010111,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T11:00:00,109.2,125.0,0.048,0.9183559055667737,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010112,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T12:00:00,100.8,103.7,0.1074,0.7792833331369038,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010113,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T13:00:00,103.6,100.6,0.0918,0.7979307890740661,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010114,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T14:00:00,98.0,106.8,0.0971,0.8483263904657917,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010115,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T15:00:00,109.2,115.9,0.0368,0.6944897351645948,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010116,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T16:00:00,100.8,112.8,0.0741,0.8022269481734658,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010117,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T17:00:00,98.0,122.0,0.1075,0.8094114170324196,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010118,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T18:00:00,109.2,131.2,0.0484,0.9158105219804971,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010119,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T19:00:00,106.4,115.9,0.0587,0.8796580928903455,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010120,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T20:00:00,103.6,109.8,0.0718,0.8773709298443209,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010121,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T21:00:00,109.2,128.1,0.0224,0.988140533847889,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010122,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T22:00:00,109.2,118.9,0.0249,0.8881407469619259,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010123,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-01T23:00:00,100.8,85.4,0.0692,0.7728364010403447,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010200,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-02T00:00:00,106.4,109.8,0.0248,0.8333310511722087,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010201,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-02T01:00:00,109.2,125.0,0.0228,0.8182840866084552,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010202,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-02T02:00:00,109.2,109.8,0.0206,0.8206602029521768,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010203,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-02T03:00:00,103.6,97.6,0.0594,0.8122878616207103,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010204,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-02T04:00:00,103.6,103.7,0.0665,0.966946997078726,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010205,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-02T05:00:00,106.4,97.6,0.053,0.7683406756698843,True
STFGAP_SITE_STOLLERY_INSPIRED_GEN_2026010206,SITE_STOLLERY_INSPIRED,SITE_STOLLERY_INSPIRED_GEN,2026-01-02T06:00:00,103.6,91.5,0.0561,0.8377981038124823,True
