fct_transfer_request_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_TRANSFER_REQUEST_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,1,0.063,ok,True
FCT_TRANSFER_REQUEST_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,18,0.694,ok,True
FCT_TRANSFER_REQUEST_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,1,0.836,ok,True
FCT_TRANSFER_REQUEST_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,5,0.214,ok,True
FCT_TRANSFER_REQUEST_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,0,0.54,ok,True
FCT_TRANSFER_REQUEST_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,0,0.447,ok,True
FCT_TRANSFER_REQUEST_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,6,0.665,ok,True
FCT_TRANSFER_REQUEST_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,2,0.29,ok,True
FCT_TRANSFER_REQUEST_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,18,0.586,ok,True
FCT_TRANSFER_REQUEST_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,6,0.893,ok,True
FCT_TRANSFER_REQUEST_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,17,0.67,ok,True
FCT_TRANSFER_REQUEST_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,2,0.502,ok,True
FCT_TRANSFER_REQUEST_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,4,0.199,ok,True
FCT_TRANSFER_REQUEST_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,9,0.36,ok,True
FCT_TRANSFER_REQUEST_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,0,0.451,ok,True
FCT_TRANSFER_REQUEST_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,14,0.632,ok,True
FCT_TRANSFER_REQUEST_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,9,0.436,ok,True
FCT_TRANSFER_REQUEST_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,14,0.994,ok,True
FCT_TRANSFER_REQUEST_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,2,0.192,ok,True
FCT_TRANSFER_REQUEST_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,4,0.929,ok,True
FCT_TRANSFER_REQUEST_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,14,0.957,ok,True
FCT_TRANSFER_REQUEST_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,9,0.682,ok,True
FCT_TRANSFER_REQUEST_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,19,0.978,ok,True
FCT_TRANSFER_REQUEST_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,3,0.13,ok,True
FCT_TRANSFER_REQUEST_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,17,0.69,ok,True
FCT_TRANSFER_REQUEST_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,7,0.708,ok,True
FCT_TRANSFER_REQUEST_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,5,0.099,ok,True
FCT_TRANSFER_REQUEST_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,4,0.374,ok,True
FCT_TRANSFER_REQUEST_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,7,0.063,ok,True
FCT_TRANSFER_REQUEST_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,8,0.926,ok,True
FCT_TRANSFER_REQUEST_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,18,0.181,ok,True
FCT_TRANSFER_REQUEST_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,5,0.12,ok,True
FCT_TRANSFER_REQUEST_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,4,0.268,ok,True
FCT_TRANSFER_REQUEST_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,2,0.438,ok,True
FCT_TRANSFER_REQUEST_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,2,0.855,ok,True
FCT_TRANSFER_REQUEST_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,7,0.5,ok,True
