fct_transport_or_portering_synth_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_TRANSPORT_OR_PORTERING_SYNTH_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,6,0.532,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,17,0.39,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,8,0.728,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,13,0.047,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,9,0.451,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,18,0.779,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,1,0.958,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,16,0.225,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,11,0.497,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,5,0.488,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,16,0.603,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,19,0.144,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,15,0.213,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,7,0.03,review,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,3,0.048,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,0,0.343,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,8,0.788,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,16,0.719,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,11,0.422,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,4,0.425,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,18,0.487,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,8,0.801,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,10,0.879,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,0,0.633,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,7,0.284,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,1,0.89,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,12,0.04,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,9,0.746,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,11,0.124,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,19,0.133,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,11,0.323,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,14,0.763,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,7,0.316,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,15,0.028,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,0,0.176,ok,True
FCT_TRANSPORT_OR_PORTERING_SYNTH_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,8,0.59,ok,True
