fct_virtual_care_synth_id,site_id,event_ts,service_line,synthetic_count,synthetic_rate,data_quality_flag,synthetic_demo
FCT_VIRTUAL_CARE_SYNTH_0000,SITE_STOLLERY_INSPIRED,2026-01-01T00:00:00,general_pediatrics,12,0.393,ok,True
FCT_VIRTUAL_CARE_SYNTH_0001,SITE_ACH_INSPIRED,2026-01-02T00:00:00,surgery,8,0.709,ok,True
FCT_VIRTUAL_CARE_SYNTH_0002,SITE_PROV_NETWORK,2026-01-03T00:00:00,PICU,19,0.144,ok,True
FCT_VIRTUAL_CARE_SYNTH_0003,SITE_STOLLERY_INSPIRED,2026-01-04T00:00:00,NICU,19,0.009,ok,True
FCT_VIRTUAL_CARE_SYNTH_0004,SITE_ACH_INSPIRED,2026-01-05T00:00:00,cardiology,13,0.701,ok,True
FCT_VIRTUAL_CARE_SYNTH_0005,SITE_PROV_NETWORK,2026-01-06T00:00:00,oncology,15,0.207,ok,True
FCT_VIRTUAL_CARE_SYNTH_0006,SITE_STOLLERY_INSPIRED,2026-01-07T00:00:00,neurology,16,0.61,ok,True
FCT_VIRTUAL_CARE_SYNTH_0007,SITE_ACH_INSPIRED,2026-01-08T00:00:00,respiratory,7,0.568,ok,True
FCT_VIRTUAL_CARE_SYNTH_0008,SITE_PROV_NETWORK,2026-01-09T00:00:00,mental_health,17,0.662,ok,True
FCT_VIRTUAL_CARE_SYNTH_0009,SITE_STOLLERY_INSPIRED,2026-01-10T00:00:00,rehabilitation_complex_care,3,0.901,ok,True
FCT_VIRTUAL_CARE_SYNTH_0010,SITE_ACH_INSPIRED,2026-01-11T00:00:00,general_pediatrics,13,0.145,ok,True
FCT_VIRTUAL_CARE_SYNTH_0011,SITE_PROV_NETWORK,2026-01-12T00:00:00,surgery,14,0.667,ok,True
FCT_VIRTUAL_CARE_SYNTH_0012,SITE_STOLLERY_INSPIRED,2026-01-13T00:00:00,PICU,12,0.427,ok,True
FCT_VIRTUAL_CARE_SYNTH_0013,SITE_ACH_INSPIRED,2026-01-14T00:00:00,NICU,3,0.732,ok,True
FCT_VIRTUAL_CARE_SYNTH_0014,SITE_PROV_NETWORK,2026-01-15T00:00:00,cardiology,18,0.376,ok,True
FCT_VIRTUAL_CARE_SYNTH_0015,SITE_STOLLERY_INSPIRED,2026-01-16T00:00:00,oncology,17,0.495,ok,True
FCT_VIRTUAL_CARE_SYNTH_0016,SITE_ACH_INSPIRED,2026-01-17T00:00:00,neurology,13,0.17,ok,True
FCT_VIRTUAL_CARE_SYNTH_0017,SITE_PROV_NETWORK,2026-01-18T00:00:00,respiratory,11,0.911,ok,True
FCT_VIRTUAL_CARE_SYNTH_0018,SITE_STOLLERY_INSPIRED,2026-01-19T00:00:00,mental_health,14,0.195,ok,True
FCT_VIRTUAL_CARE_SYNTH_0019,SITE_ACH_INSPIRED,2026-01-20T00:00:00,rehabilitation_complex_care,8,0.199,ok,True
FCT_VIRTUAL_CARE_SYNTH_0020,SITE_PROV_NETWORK,2026-01-21T00:00:00,general_pediatrics,14,0.395,ok,True
FCT_VIRTUAL_CARE_SYNTH_0021,SITE_STOLLERY_INSPIRED,2026-01-22T00:00:00,surgery,1,0.789,review,True
FCT_VIRTUAL_CARE_SYNTH_0022,SITE_ACH_INSPIRED,2026-01-23T00:00:00,PICU,13,0.606,ok,True
FCT_VIRTUAL_CARE_SYNTH_0023,SITE_PROV_NETWORK,2026-01-24T00:00:00,NICU,19,0.252,ok,True
FCT_VIRTUAL_CARE_SYNTH_0024,SITE_STOLLERY_INSPIRED,2026-01-25T00:00:00,cardiology,19,0.612,ok,True
FCT_VIRTUAL_CARE_SYNTH_0025,SITE_ACH_INSPIRED,2026-01-26T00:00:00,oncology,3,0.717,ok,True
FCT_VIRTUAL_CARE_SYNTH_0026,SITE_PROV_NETWORK,2026-01-27T00:00:00,neurology,0,0.583,ok,True
FCT_VIRTUAL_CARE_SYNTH_0027,SITE_STOLLERY_INSPIRED,2026-01-28T00:00:00,respiratory,18,0.987,ok,True
FCT_VIRTUAL_CARE_SYNTH_0028,SITE_ACH_INSPIRED,2026-01-29T00:00:00,mental_health,7,0.76,ok,True
FCT_VIRTUAL_CARE_SYNTH_0029,SITE_PROV_NETWORK,2026-01-30T00:00:00,rehabilitation_complex_care,4,0.25,ok,True
FCT_VIRTUAL_CARE_SYNTH_0030,SITE_STOLLERY_INSPIRED,2026-01-31T00:00:00,general_pediatrics,11,0.841,ok,True
FCT_VIRTUAL_CARE_SYNTH_0031,SITE_ACH_INSPIRED,2026-02-01T00:00:00,surgery,5,0.633,ok,True
FCT_VIRTUAL_CARE_SYNTH_0032,SITE_PROV_NETWORK,2026-02-02T00:00:00,PICU,13,0.221,ok,True
FCT_VIRTUAL_CARE_SYNTH_0033,SITE_STOLLERY_INSPIRED,2026-02-03T00:00:00,NICU,12,0.707,ok,True
FCT_VIRTUAL_CARE_SYNTH_0034,SITE_ACH_INSPIRED,2026-02-04T00:00:00,cardiology,5,0.647,ok,True
FCT_VIRTUAL_CARE_SYNTH_0035,SITE_PROV_NETWORK,2026-02-05T00:00:00,oncology,14,0.57,ok,True
