waitlist_snapshot_id,site_id,program,week_start_date,waitlist_total,waitlist_over_target,median_wait_days,p90_wait_days,third_next_available_days,urgent_breach_risk,synthetic_demo
WAIT_SITE_STOLLERY_INSPIRED_respiratory_000,SITE_STOLLERY_INSPIRED,respiratory,2026-01-05,267,192,109,194,81,0.639,True
WAIT_SITE_STOLLERY_INSPIRED_respiratory_001,SITE_STOLLERY_INSPIRED,respiratory,2026-01-12,273,196,103,184,77,0.535,True
WAIT_SITE_STOLLERY_INSPIRED_respiratory_002,SITE_STOLLERY_INSPIRED,respiratory,2026-01-19,283,203,101,180,75,0.597,True
WAIT_SITE_STOLLERY_INSPIRED_respiratory_003,SITE_STOLLERY_INSPIRED,respiratory,2026-01-26,281,191,82,146,61,0.481,True
WAIT_SITE_STOLLERY_INSPIRED_respiratory_004,SITE_STOLLERY_INSPIRED,respiratory,2026-02-02,283,193,86,153,64,0.482,True
WAIT_SITE_STOLLERY_INSPIRED_respiratory_005,SITE_STOLLERY_INSPIRED,respiratory,2026-02-09,293,210,120,213,89,0.786,True
WAIT_SITE_STOLLERY_INSPIRED_respiratory_006,SITE_STOLLERY_INSPIRED,respiratory,2026-02-16,298,214,101,180,75,0.713,True
WAIT_SITE_STOLLERY_INSPIRED_respiratory_007,SITE_STOLLERY_INSPIRED,respiratory,2026-02-23,308,221,112,199,83,0.753,True
WAIT_SITE_STOLLERY_INSPIRED_respiratory_008,SITE_STOLLERY_INSPIRED,respiratory,2026-03-02,301,210,81,144,60,0.498,True
WAIT_SITE_STOLLERY_INSPIRED_respiratory_009,SITE_STOLLERY_INSPIRED,respiratory,2026-03-09,302,217,86,153,64,0.594,True
WAIT_SITE_STOLLERY_INSPIRED_respiratory_010,SITE_STOLLERY_INSPIRED,respiratory,2026-03-16,293,188,83,148,62,0.443,True
WAIT_SITE_STOLLERY_INSPIRED_respiratory_011,SITE_STOLLERY_INSPIRED,respiratory,2026-03-23,289,201,67,120,50,0.498,True
WAIT_SITE_STOLLERY_INSPIRED_respiratory_012,SITE_STOLLERY_INSPIRED,respiratory,2026-03-30,296,213,130,232,97,0.716,True
WAIT_SITE_STOLLERY_INSPIRED_respiratory_013,SITE_STOLLERY_INSPIRED,respiratory,2026-04-06,300,216,166,295,123,0.85,True
WAIT_SITE_STOLLERY_INSPIRED_respiratory_014,SITE_STOLLERY_INSPIRED,respiratory,2026-04-13,285,178,68,122,51,0.425,True
WAIT_SITE_STOLLERY_INSPIRED_respiratory_015,SITE_STOLLERY_INSPIRED,respiratory,2026-04-20,272,159,70,124,52,0.388,True
WAIT_SITE_STOLLERY_INSPIRED_respiratory_016,SITE_STOLLERY_INSPIRED,respiratory,2026-04-27,262,188,79,141,59,0.523,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_000,SITE_STOLLERY_INSPIRED,cardiology,2026-01-05,131,48,33,60,25,0.174,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_001,SITE_STOLLERY_INSPIRED,cardiology,2026-01-12,115,42,31,55,23,0.168,True
WAIT_SITE_STOLLERY_INSPIRED_cardiology_002,SITE_STOLLERY_INSPIRED,cardiology,2026-01-19,109,49,43,76,32,0.251,True
